nId	nSubId	nTaskGroupId	nTaskSubId	szClassName	ExParam1	ExParam2	ExParam3	ExParam4	ExParam5	ExParam6	ExParam7	ExParam8	ExParam9	ExParam10	ExParam11	ExParam12	ExParam13	ExParam14	ExParam15
153	1			ShowTaskList	3|3	能工巧匠 步骤：5/15	找到小块羊皮	点击右下角生活技能按钮	90										Tutorial:ProcessLifeSkillTutorial()
154	1			ShowButton	1|3	UI_SIDEBAR	BtnLifeSkill	点击<color=yellow>生活技能<color>，进入生活技能面板	360	UseShortcut,F8									
155	1			ShowTaskList	3|3	能工巧匠 步骤：7/15	向郝漂靓请教	点击向郝漂靓请教，自动寻路	360	CloseWindow,UI_TASKTRACK									
156	1			ShowTaskList	3|3	能工巧匠 步骤：8/15	找到有裂纹的松木板	点击右下角生活技能按钮	90										Tutorial:ProcessLifeSkillTutorial()
157	1			ShowButton	1|3	UI_SIDEBAR	BtnLifeSkill	点击<color=yellow>生活技能<color>，进入生活技能面板	360	UseShortcut,F8									
158	1			ShowTaskList	3|3	能工巧匠 步骤：10/15	向张斩经请教	点击向张斩经请教，自动寻路	360	CloseWindow,UI_TASKTRACK									
159	1			ShowTaskList	3|3	能工巧匠 步骤：11/15	找到小藏红花粉	点击右下角生活技能按钮	90										Tutorial:ProcessLifeSkillTutorial()
160	1			ShowButton	1|3	UI_SIDEBAR	BtnLifeSkill	点击<color=yellow>生活技能<color>，进入生活技能面板	360	UseShortcut,F8									
161	1			ShowTaskList	3|3	能工巧匠 步骤：13/15	向不动先生请教	点击向不动先生请教，自动寻路	360	CloseWindow,UI_TASKTRACK									
162	1			ShowTaskList	3|3	能工巧匠 步骤：14/15	找到碎亚麻布	点击右下角生活技能按钮	90										Tutorial:ProcessLifeSkillTutorial()
163	1			ShowButton	1|3	UI_SIDEBAR	BtnLifeSkill	点击<color=yellow>生活技能<color>，进入生活技能面板	360	UseShortcut,F8									
164	1			ShowTaskList	3|3	能工巧匠 (未领奖)	到不动先生处领奖	点击到不动先生处领奖	90										
165	1			ShowDialog	2|4	<color=yellow>[剧情]<color>桃落托书	点击对话选项：桃落托书	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
166	1			ShowTaskList	3|3	桃落托书 步骤：1/5	书青	点击书青，自动寻路	360	CloseWindow,UI_TASKTRACK									
167	1			ShowTaskList	3|3	桃落托书 步骤：2/5	桃花枝	点击桃花枝，自动寻路	360	CloseWindow,UI_TASKTRACK									
168	1			ShowTaskList	3|3	桃落托书 步骤：3/5	桃花枝	点击桃花枝赠送给子书青	360	CloseWindow,UI_TASKTRACK									
169	1			ShowTaskList	3|3	桃落托书 步骤：4/5	书信	点击书信查看	360	CloseWindow,UI_TASKTRACK									
170	1			ShowTaskList	3|3	桃落托书 步骤：5/5	询问徐大哥	点击询问徐大哥白秋琳可有口信，自动寻路	360	CloseWindow,UI_TASKTRACK									
171	1			ShowDialog	2|4	<color=yellow>[剧情]<color>往事难寻	点击对话选项：往事难寻	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
172	1			ShowTaskList	3|3	往事难寻 步骤：1/7	击败鹿并获得鹿血	点击击败鹿并获得鹿血，自动寻路	360	CloseWindow,UI_TASKTRACK									
173	1			ShowTaskList	3|3	往事难寻 步骤：2/7	许大哥	点击击许大哥，自动寻路	360	CloseWindow,UI_TASKTRACK									
174	1			ShowTaskList	3|3	往事难寻 步骤：3/7	离开	点击离开，自动寻路	360	CloseWindow,UI_TASKTRACK									
175	1			ShowTaskList	3|3	往事难寻 步骤：4/7	询问前辈此回可有收获	点击询问前辈此回可有收获，自动寻路	360	CloseWindow,UI_TASKTRACK									
176	1			ShowTaskList	3|3	往事难寻 步骤：5/7	击败桃树	点击击败桃树，自动寻路	360	CloseWindow,UI_TASKTRACK									
177	1			ShowTaskList	3|3	往事难寻 步骤：6/7	击败桃树	点击击败桃树，自动寻路	360	CloseWindow,UI_TASKTRACK									
178	1			ShowTaskList	3|3	往事难寻 步骤：7/7	回去桃溪镇	点击回去桃溪镇，自动寻路	360	CloseWindow,UI_TASKTRACK									
179	1			ShowDialog	2|4	<color=yellow>[剧情]<color>门派渊源	点击对话选项：门派渊源	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
180	1			ShowTaskList	3|3	门派渊源 步骤：1/6	训练假人	点击训练假人，自动寻路	360	CloseWindow,UI_TASKTRACK									
181	1			ShowTaskList	3|3	门派渊源 步骤：2/6	龙五太爷	点击龙五太爷，自动寻路	360	CloseWindow,UI_TASKTRACK									
182	1			ShowTaskList	3|3	门派渊源 步骤：3/6	吕护院	点击吕护院，自动寻路	360	CloseWindow,UI_TASKTRACK									
183	1			ShowTaskList	3|3	门派渊源 步骤：4/6	观看门派演示，选择加入门派	请观看门派演示并选择加入门派	360	CloseWindow,UI_TASKTRACK									
184	1			ShowTaskList	3|3	门派渊源 步骤：7/7	投点	请按F3打开技能面板，选择一个门派路线	360	CloseWindow,UI_TASKTRACK			废弃						
185	1			ShowTaskList	3|3	门派渊源 步骤：6/6	吕护院	点击吕护院，自动寻路	360	CloseWindow,UI_TASKTRACK									
186	1			ShowDialog	2|4	<color=yellow>[剧情]<color>风波乍起	点击对话选项：风波乍起	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
187	1			ShowTaskList	3|3	风波乍起 步骤：1/9	暴躁的鹿	击杀暴躁的鹿，了解下情况	360	CloseWindow,UI_TASKTRACK									
188	1			ShowTaskList	3|3	风波乍起 步骤：2/9	龙五太爷	去龙五太爷跟前汇报下情况	360	CloseWindow,UI_TASKTRACK									
189	1			ShowTaskList	3|3	风波乍起 步骤：3/9	甜酒叔	去甜酒叔跟前，看看能帮上什么忙吗	360	CloseWindow,UI_TASKTRACK									
190	1			ShowTaskList	3|3	风波乍起 步骤：4/9	吕管家	去吕管家跟前，看看你能帮上啥忙	360	CloseWindow,UI_TASKTRACK									
191	1			ShowTaskList	3|3	风波乍起 步骤：5/9	晓菲姐姐	去晓菲姐姐跟前，她找你似乎有事	360	CloseWindow,UI_TASKTRACK									
192	1			ShowTaskList	3|3	风波乍起 步骤：6/9	穿上戏服	使用戏服表演一场戏剧	360	CloseWindow,UI_TASKTRACK									
193	1			ShowTaskList	3|3	风波乍起 步骤：7/9	吕管家	询问下吕管家发生什么事了	360	CloseWindow,UI_TASKTRACK									
194	1			ShowTaskList	3|3	风波乍起 步骤：8/9	击败鬼祟观众	前往并击杀鬼祟观众	360	CloseWindow,UI_TASKTRACK									
195	1			ShowTaskList	3|3	风波乍起 步骤：9/9	顺着小贼的痕迹追过去	追击水贼看看会发生什么事情	360	CloseWindow,UI_TASKTRACK									
196	1			ShowDialog	2|4	<color=yellow>[剧情]<color>此景可待	点击对话选项：此景可待	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
197	1			ShowTaskList	3|3	此景可待 步骤：1/10	将解药投入水渠	使用解药，解除喝水中的毒药	360	CloseWindow,UI_TASKTRACK									
198	1			ShowTaskList	3|3	此景可待 步骤：2/10	船夫	坐船回到龙五太爷跟前，说明情况	360	CloseWindow,UI_TASKTRACK									
199	1			ShowTaskList	3|3	此景可待 步骤：3/10	到达码头	坐船到达码头	360	CloseWindow,UI_TASKTRACK									
200	1			ShowTaskList	3|3	此景可待 步骤：4/10	龙五太爷	前往龙五太爷跟前说明情况	360	CloseWindow,UI_TASKTRACK									
201	1			ShowTaskList	3|3	此景可待 步骤：5/10	找前辈寻求解释	找神秘师父了解真相	360	CloseWindow,UI_TASKTRACK									
202	1			ShowTaskList	3|3	此景可待 步骤：6/10	桃溪镇石碑	去桃溪镇石碑处查看父母留下的足迹	360	CloseWindow,UI_TASKTRACK									
203	1			ShowTaskList	3|3	此景可待 步骤：7/10	书青	去渡头查看发生什么事了	360	CloseWindow,UI_TASKTRACK									
204	1			ShowTaskList	3|3	此景可待 步骤：8/10	登上小船	登上船前往水贼营地	360	CloseWindow,UI_TASKTRACK									
205	1			ShowTaskList	3|3	此景可待 步骤：9/10	到达水寨	悄悄潜入水寨	360	CloseWindow,UI_TASKTRACK									
206	1			ShowTaskList	3|3	此景可待 步骤：10/10	劝书青留守此地	劝说书青留守此地	360	CloseWindow,UI_TASKTRACK									
207	1			ShowDialog	2|4	<color=yellow>[剧情]<color>计乱水贼营	点击对话选项：计乱水贼营	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
208	1			ShowTaskList	3|3	计乱水贼营 步骤：1/8	哨兵	击杀哨兵并获得哨兵衣服	360	CloseWindow,UI_TASKTRACK									
209	1			ShowTaskList	3|3	计乱水贼营 步骤：2/8	乔装成水贼潜入水寨	穿上水贼衣服，乔装成水贼潜入水寨	360	CloseWindow,UI_TASKTRACK									
210	1			ShowTaskList	3|3	计乱水贼营 步骤：3/8	水贼帮众	找到水贼帮众，套问村民下落	360	CloseWindow,UI_TASKTRACK									
211	1			ShowTaskList	3|3	计乱水贼营 步骤：4/8	稻香村	和水贼帮众拼酒，混入水贼队伍	360	CloseWindow,UI_TASKTRACK									
212	1			ShowTaskList	3|3	计乱水贼营 步骤：5/8	水贼巡使	击杀水贼巡使，并且解救村民夺回被劫贺礼	360	CloseWindow,UI_TASKTRACK									
213	1			ShowTaskList	3|3	计乱水贼营 步骤：6/8	点击图标，使用霹雳弹	使用霹雳弹击杀水贼巡使	360	CloseWindow,UI_TASKTRACK									
214	1			ShowTaskList	3|3	计乱水贼营 步骤：7/8	与书青对话	前往渡头，迅速离开水寨	360	CloseWindow,UI_TASKTRACK									
215	1			ShowTaskList	3|3	计乱水贼营 步骤：8/8	龙五太爷	跟龙五太爷说明水寨情况	360	CloseWindow,UI_TASKTRACK									
216	1			ShowDialog	2|4	<color=yellow>[剧情]<color>花灯初上	点击对话选项：花灯初上	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
217	1			ShowTaskList	3|3	花灯初上 步骤：1/8	好好想想	休息下前往花灯会	360	CloseWindow,UI_TASKTRACK									
218	1			ShowTaskList	3|3	花灯初上 步骤：2/8	书青	跟子书青打招呼，去观看花灯	360	CloseWindow,UI_TASKTRACK									
219	1			ShowTaskList	3|3	花灯初上 步骤：3/8	去临水小阶放花灯	在河边使用花灯，放逐花灯	360	CloseWindow,UI_TASKTRACK									
220	1			ShowTaskList	3|3	花灯初上 步骤：4/8	小贩	去小贩跟前购买钓鱼竿	360	CloseWindow,UI_TASKTRACK									
221	1			ShowTaskList	3|3	花灯初上 步骤：5/8	去风荷小筑钓金鱼	前往河边钓金鱼	360	CloseWindow,UI_TASKTRACK									
222	1			ShowTaskList	3|3	花灯初上 步骤：6/8	烟花	前往烟花台，燃放烟花	360	CloseWindow,UI_TASKTRACK									
223	1			ShowTaskList	3|3	花灯初上 步骤：7/8	看杂耍	挤进人群，观看热闹	360	CloseWindow,UI_TASKTRACK									
224	1			ShowTaskList	3|3	花灯初上 步骤：8/8	李婶	点击李婶询问发生何事，自动寻路。	360	CloseWindow,UI_TASKTRACK									
225	1			ShowDialog	2|4	<color=yellow>[剧情]<color>谁书离别	点击对话选项：谁书离别	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
226	1			ShowTaskList	3|3	谁书离别 步骤：1/8	金国	击杀并俘虏金国士兵	360	CloseWindow,UI_TASKTRACK									
227	1			ShowTaskList	3|3	谁书离别 步骤：2/8	躲在屋檐后，看发生何事	躲在屋檐后，查看发生何事	360	CloseWindow,UI_TASKTRACK									
228	1			ShowTaskList	3|3	谁书离别 步骤：3/8	金军统领	击败金军统领	360	CloseWindow,UI_TASKTRACK									
229	1			ShowTaskList	3|3	谁书离别 步骤：4/8	许士伟	击败许士伟	360	CloseWindow,UI_TASKTRACK									
230	1			ShowTaskList	3|3	谁书离别 步骤：5/8	码头	前往码头查看发生何事	360	CloseWindow,UI_TASKTRACK									
231	1			ShowTaskList	3|3	谁书离别 步骤：6/8	陆往生	击败陆往生	360	CloseWindow,UI_TASKTRACK									
232	1			ShowTaskList	3|3	谁书离别 步骤：7/8	白秋琳	跟随白秋琳，开始真正的侠客之旅	360	CloseWindow,UI_TASKTRACK									
233	1			ShowTaskList	3|3	谁书离别 步骤：8/8	书青	与子书青道别	360	CloseWindow,UI_TASKTRACK									
234	1			ShowDialog	2|4	门派技能演示翠烟	点击对话选项：门派技能显示翠烟	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
235	1			ShowDialog	2|4	门派技能演示天王	点击对话选项：门派技能演示天王	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
236	1			ShowDialog	2|4	门派技能演示少林	点击对话选项：门派技能演示少林	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
237	1			ShowDialog	2|4	门派技能演示五毒	点击对话选项：门派技能演示五毒	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
238	1			ShowDialog	2|4	门派技能演示大理段氏	点击对话选项：门派技能演示大理段氏	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
239	1			ShowDialog	2|4	门派技能演示天忍	点击对话选项：门派技能演示天忍	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
240	1			ShowDialog	2|4	门派技能演示唐门	点击对话选项：门派技能演示唐门	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
241	1			ShowDialog	2|4	门派技能演示峨嵋	点击对话选项：门派技能演示峨嵋	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
242	1			ShowDialog	2|4	门派技能演示武当	点击对话选项：门派技能演示武当	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
243	1			ShowDialog	2|4	门派技能演示昆仑	点击对话选项：门派技能演示昆仑	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
244	1			ShowDialog	2|4	门派技能演示明教	点击对话选项：门派技能演示明教	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
245	1			ShowDialog	2|4	门派技能演示丐帮	点击对话选项：门派技能演示丐帮	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
246	1			ShowDialog	2|4	门派技能演示古墓	点击对话选项：门派技能演示古墓派	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
247	1			ShowDialog	2|4	师父在上，请受弟子一拜	点击对话选项：师傅在上，请受弟子一拜	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	526	741	4						
248	1			ShowDialog	2|4	弟子谨遵师命	点击对话选项：弟子谨遵师命	360		MoveWindow,UI_SAYPANEL|CloseWindow,UI_SAYPANEL	526	741	5						
248	2			ShowButton	3|3	UI_SIDEBAR	BtnSkill	点击门派技能	360	UseShortcut,F3,E									
249	1			ShowTaskList	3|3	花灯初上 	请前往花灯会	点击请前往花灯会，自动寻路	360	CloseWindow,UI_TASKTRACK									
250	1			ShowButton	2|4	UI_EQUIPCOMPOSE	Btn_Equi_Enhance	点击装备强化按钮，强化装备	360		CloseWindow,UI_EQUIPCOMPOSE	MoveWindow,UI_EQUIPCOMPOSE							
250	2			ShowObj	2|3	UI_EQUIPCOMPOSE	Obj_Target_Equip	0	0	放入需要强化的装备	360	DropObj,UI_EQUIPCOMPOSE,Obj_Target_Equip,0,0	CloseWindow,UI_EQUIPCOMPOSE	MoveWindow,UI_EQUIPENHANCE					
250	3			ShowObj	2|3	UI_EQUIPCOMPOSE	Obj_Item_Grid	0	0	放入强化装备需要的玄晶	360	DropObj,UI_EQUIPCOMPOSE,Obj_Item_Grid,0,0	CloseWindow,UI_EQUIPCOMPOSE	MoveWindow,UI_EQUIPENHANCE					
250	4			ShowButton	2|3	UI_EQUIPCOMPOSE	Btn_OK	点击确定按钮，进行强化装备	360		CloseWindow,UI_EQUIPCOMPOSE	MoveWindow,UI_EQUIPCOMPOSE							
