Id	PosType	Layer	AdjustColor	ImageFile	IconFile	Loop	Buff	DrawProp	Tip
261	body	2		\image\effect\fightskill\kunlun\kl_90_jgbp_a.spr		0	1		金刚不破
262	ground	2		\image\effect\fightskill\public\rage_normal_a.spr		0	1		普通怒气攻击
263	ground	2		\image\effect\fightskill\public\rage_gold_a.spr		0	1		金系怒气攻击
264	ground	2		\image\effect\fightskill\public\rage_wood_a.spr		0	1		木系怒气攻击
265	ground	2		\image\effect\fightskill\public\rage_water_a.spr		0	1		水系怒气攻击
266	ground	2		\image\effect\fightskill\public\rage_fire_a.spr		0	1		火系怒气攻击
267	ground	2		\image\effect\fightskill\public\rage_earth_a.spr		0	1		土系怒气攻击
268	ground	1		\image\effect\fightskill\mingjiao\mj_10_kts_a.spr		0	1		开天式
269	ground	1		\image\effect\fightskill\mingjiao\mj_50_pds_a.spr		0	1		劈地势
270	ground	1		\image\effect\fightskill\mingjiao\mj_90_lts_a.spr		0	1		龙吞式
271	ground	1		\image\effect\fightskill\mingjiao\mj_10_shfx_a.spr		0	1		圣火焚心
272	ground	2		\image\effect\fightskill\mingjiao\mj_30_mqpz_a.spr		0	1		弥气飘踪
273	ground	1		\image\effect\fightskill\mingjiao\mj_50_wwjf_a.spr		0	1		万物俱焚
274	ground	2		\image\effect\fightskill\mingjiao\mj_50_pysf_a.spr		0	1		飘翼身法
275	ground	2		\image\effect\fightskill\mingjiao\mj_70_qkdny_d.spr		0	1		乾坤大挪移
276	ground	1		\image\effect\fightskill\mingjiao\mj_90_shly_a.spr		0	1		圣火燎原
277	ground	1		\image\effect\fightskill\daliduanshi\ds_10_szdx_a.spr		0	1		神指点穴
278	ground	2		\image\effect\fightskill\daliduanshi\ds_30_yyz_a.spr		0	1		一阳指
279	ground	1		\image\effect\fightskill\daliduanshi\ds_50_yzqk_a.spr		0	1		一指乾坤
280	ground	2		\image\effect\fightskill\daliduanshi\ds_50_lbwb_a.spr		0	1		凌波微步
281	ground	1		\image\effect\fightskill\daliduanshi\ds_90_qysz_a.spr		0	1		乾阳神指
282	ground	1		\image\effect\fightskill\daliduanshi\ds_10_fybh_a.spr		0	1		风云变幻
283	ground	1		\image\effect\fightskill\daliduanshi\ds_50_jymt_a.spr		0	1		金玉满堂
284	ground	2		\image\effect\fightskill\daliduanshi\ds_50_tnbf_a.spr		0	1		天南步法
285	ground	1		\image\effect\fightskill\daliduanshi\ds_90_lmsj_a.spr		0	1		六脉神剑
286	ground	1		\image\effect\fightskill\shaolin\sl_30_bdmw_a.spr		0	1		boss自身范围多段攻击
287	ground	0		\image\effect\fightskill\emei\em_50_jyfg_d.spr		1	0		npc扣蓝光环
288	ground	2		\image\effect\fightskill\wudang\wd_50_cywj_a.spr		0	1		纯阳无极
289	ground	2		\image\effect\fightskill\gaibang\gb_60_scll_a.spr		0	1		时乘六龙
290	ground	0		\image\effect\fightskill\wudu\wu_90_djfg_a.spr	\image\icon\fightskill\state\kurongchangong.spr	1	0		六阳融雪功
291		1			\image\icon\fightskill\state\yumashu.spr	1	1		征战状态<enter>只能与同样具有征战状态的玩家产生战斗关系
292		0			\image\icon\fightskill\state\kurongchangong.spr	1	1		强化装备时需要的银两（绑定银两）减少20%
293		0			\image\icon\fightskill\state\tianwangbensheng.spr	1	1		守卫主城
294	ground	0		\image\effect\fightskill\npc\npc_aura_m.spr	\image\icon\fightskill\state\weak.spr	1	1	2	军威<enter>处于宋金战神附近或本方大营内时，能力会有所提升。<enter>
295		0			\image\icon\fightskill\state\duanjinren.spr	1	1		领土争夺战变身
296		1			\image\icon\fightskill\state\lock.spr	0	0		切换门派调息中，不能再切换门派
297	body	1		\image\effect\fightskill\shaolin\sl_70_jgbh_b.spr	\image\icon\fightskill\state\jingangbuhuai.spr	1	1	3	金刚不坏
298	head	1			\image\icon\fightskill\state\pijingzhanji.spr	1	1	3	披荆斩棘
299		1			\image\icon\fightskill\state\huaxuejiemai1.spr	1	0	3	血鼎功_受到伤害增加
300		1	Black		\image\icon\fightskill\state\huaxuejiemai2.spr	1	0	1	瘟蛊之气_受到伤害增加
301	body	1		\image\effect\fightskill\wudu\wu_70_qds_a.spr	\image\icon\fightskill\state\zhuifengduji.spr	1	1	3	追风毒棘
302	head	1		\image\effect\fightskill\emei\em_70_jdmz_b.spr	\image\icon\fightskill\state\jindingmianzhang.spr	1	1	3	金顶绵掌
303	ground	0			\image\icon\fightskill\state\toulongzhuanfeng.spr	1	1	3	偷龙转凤
304	ground	0		\image\effect\fightskill\wudang\wd_70_lyxf_b.spr	\image\icon\fightskill\state\liangyixinfa.spr	1	1	3	两仪心法
305	ground	1				0	1		流星赶月
306	body	1		\image\effect\fightskill\kunlun\kl_70_lyzq_b.spr	\image\icon\fightskill\state\liangyizhenqi.spr	1	1	3	两仪真气
307	head	1		\image\effect\fightskill\wudu\wu_30_bphg_b.spr	\image\icon\fightskill\state\yudalihua.spr	1	0	3	冰魄寒光
308	head	1		\image\effect\fightskill\cuiyan\cy_70_ydlh_b.spr	\image\icon\fightskill\state\yudalihua.spr	1	1	3	雨打梨花
309	head	1		\image\effect\fightskill\public\tabingjue.spr	\image\icon\fightskill\state\tabingjue.spr	1	1	3	踏冰诀
310	head	1		\image\effect\fightskill\public\chengshuangshi.spr	\image\icon\fightskill\state\chengshuangshi.spr	1	1	3	乘霜式
311	head	1		\image\effect\fightskill\public\xueyingwu.spr	\image\icon\fightskill\state\xueyingwu.spr	1	1	3	雪影舞
312	head	1		\image\effect\fightskill\public\jianbingyu.spr	\image\icon\fightskill\state\jianbingyu.spr	1	1	3	坚冰御
313		1			\image\icon\fightskill\state\autocd1.spr	1	0		弑元诀触发调息中，此时不会再次触发
314		1			\image\icon\fightskill\state\autocd1.spr	1	0		不动明王触发调息中，此时不会再次触发
315	body	1	Gray	\image\effect\fightskill\kunlun\kl_50_hswy_b.spr	\image\icon\fightskill\state\zhaohunqu_state.spr	1	0		寒月烟锁
316		1			\image\icon\fightskill\state\autocd1.spr	1	0		枯荣禅功触发调息中，此时不会再次触发
317		1			\image\icon\fightskill\state\autocd1.spr	1	0		降龙伏虎触发调息中，此时不会再次触发
318		1			\image\icon\fightskill\state\autocd1.spr	1	0		惊雷破天触发调息中，此时不会再次触发
319		1			\image\icon\fightskill\state\autocd1.spr	1	0		天王本生触发调息中，此时不会再次触发
320		1			\image\icon\fightskill\state\autocd1.spr	1	0		断筋刃触发调息中，此时不会再次触发
321		1			\image\icon\fightskill\state\autocd1.spr	1	0		驱毒术触发调息中，此时不会再次触发
322		1			\image\icon\fightskill\state\autocd1.spr	1	0		不灭不绝触发调息中，此时不会再次触发
323		1			\image\icon\fightskill\state\autocd1.spr	1	0		玄冰无息触发调息中，此时不会再次触发
324		1			\image\icon\fightskill\state\autocd2.spr	1	0		慈悲诀触发调息中，此时不会再次触发
325		1			\image\icon\fightskill\state\autocd2.spr	1	0		六剑齐发触发调息中，此时不会再次触发
326		1			\image\icon\fightskill\state\autocd2.spr	1	0		金刚不坏触发调息中，此时不会再次触发
327		1			\image\icon\fightskill\state\autocd1.spr	1	0		化血截脉触发调息中，此时不会再次触发
328		1			\image\icon\fightskill\state\autocd2.spr	1	0		追风毒棘触发调息中，此时不会再次触发
329		1			\image\icon\fightskill\state\autocd2.spr	1	0		金顶绵掌触发调息中，此时不会再次触发
330		1			\image\icon\fightskill\state\autocd2.spr	1	0		踏雪无痕触发调息中，此时不会再次触发
331		1			\image\icon\fightskill\state\autocd1.spr	1	0		两仪心法触发调息中，此时不会再次触发
332		1			\image\icon\fightskill\state\autocd1.spr	1	0		两仪真气触发调息中，此时不会再次触发
333		0			\image\icon\fightskill\state\kurongchangong.spr	1	1		奇珍阁金币消费返还20％
334	ground	0		\image\effect\fightskill\public\guanxian_halo_1.spr		1	0	1	官衔光环1
335	ground	0		\image\effect\fightskill\public\guanxian_halo_2.spr		1	0	1	官衔光环2
336	ground	0		\image\effect\fightskill\public\guanxian_halo_3.spr		1	0	1	官衔光环3
337	ground	0		\image\effect\fightskill\public\guanxian_halo_4.spr		1	0	1	官衔光环4
338	ground	0		\image\effect\fightskill\public\guanxian_halo_5.spr		1	0	1	官衔光环5
339	ground	0		\image\effect\fightskill\public\guanxian_halo_6.spr		1	0	1	官衔光环6
340	ground	0		\image\effect\fightskill\public\guanxian_halo_7.spr		1	0	1	官衔光环7
341	ground	0		\image\effect\fightskill\public\guanxian_halo_8.spr		1	0	1	官衔光环8
342		0			\image\icon\fightskill\state\jianbingyu.spr	1	0		高强化装备剥离提示
343		0			\image\icon\fightskill\state\tongweixianhua_child.spr	1	1		通微显化
344	ground	0		\image\effect\other\deadaura.spr		1	0	1	
345		1	Hide		\image\icon\fightskill\state\huihunjue_state.spr	1	1	1	隐身
346		1			\image\icon\fightskill\state\zhuihunyin_state.spr	1	1	2	追魂引
347		1			\image\icon\fightskill\state\zhaohunqu_state.spr	1	1	2	招魂曲
348		0			\image\icon\fightskill\state\miqipiaozong.spr	1	1		在线托管中<enter>当前状态下无法移动
349	head	2		\image\effect\other\state_onlineexp.spr		1	0		自动寻路状态
350	ground	0		\image\effect\fightskill\public\guanxian_halo_8.spr		1	1	2	npc用皇帝光环
351		1			\image\icon\fightskill\state\wenguzhiqi.spr	1	0		毒瘴缠身，功力大减。
352		1			\image\icon\fightskill\state\zhaohunqu_state.spr	1	1		日华之精，百毒辟易。
353		0			\image\icon\fightskill\state\tianwangbensheng.spr	1	1		初战沙场
354	ground	1		\image\effect\other\statue_aura1.spr		1	0		
355	ground	1		\image\effect\other\statue_aura2.spr		1	0		
356	body	1		\image\effect\other\vip_aura.spr		1	0		
357	head	1		\image\effect\fightskill\daliduanshi\ds_70_syj_b2.spr	\image\icon\fightskill\state\shiyuanjue.spr	1	1	3	弑元诀
358	head	1		\image\effect\fightskill\gaibang\gb_110_qlg_b.spr	\image\icon\fightskill\state\qinlonggong.spr	1	1	3	擒龙功
359	ground	1		\image\effect\fightskill\wudang\wd_60_tyzq_b.spr	\image\icon\fightskill\state\taiyizhenqi.spr	1	1	3	太一真气
360	body	1		\image\effect\fightskill\tianwang\tw_110_blzlq_b.spr		1	1		奔雷钻龙枪
361	head	1			\image\icon\fightskill\state\zhanlongjue.spr	1	1		斩龙诀
362	ground	1		\image\effect\fightskill\shaolin\sl_110_zbxg_c.spr		0	1		醉八仙棍
363	ground	1		\image\effect\fightskill\wudu\wu_10_xdds_a.spr		0	1		朱蛤青冥
364	ground	1		\image\effect\fightskill\wudu\wu_10_dsz_a.spr		0	1		化骨绵掌
365	ground	1		\image\effect\fightskill\emei\em_110_fgzq_a.spr		0	1		佛光战气
366	ground	1		\image\effect\fightskill\emei\em_110_jyfg_a.spr		0	1		剑影佛光
367	head	1		\image\effect\fightskill\daliduanshi\ds_110_mdz_b.spr	\image\icon\fightskill\state\miaodizhi.spr	1	1	3	妙谛指气
368	ground	1				0	1		飞鸿无迹
369	head	1			\image\icon\fightskill\state\mizhonghuanying.spr	1	1		迷踪幻影
370	body	1		\image\effect\fightskill\mingjiao\mj_110_shlf_a.spr		0	1		圣火令法
371	ground	0		\image\effect\fightskill\kunlun\kl_110_wrww_d.spr		0	1		无人无我
372	head	1		\image\effect\fightskill\kunlun\kl_110_wrww_b.spr	\image\icon\fightskill\state\wurenwuwo.spr	1	1	2	无人无我
373	body	1		\image\effect\fightskill\cuiyan\cy_70_yxy_a.spr		0	1		雷霆诀
374	ground	1		\image\effect\fightskill\kunlun\kl_90_ltj_a.spr	\image\icon\fightskill\state\leitingjue.spr	1	0	2	雷霆诀
375	body	1		\image\effect\fightskill\tangmen\tm_110_qjsg_b.spr	\image\icon\fightskill\state\qijueshaguang.spr	1	1	3	七绝煞光
376	head	1		\image\effect\fightskill\wudu\wu_110_hgmz_b.spr	\image\icon\fightskill\state\huagumianzhang.spr	1	0	3	化骨绵掌
377	head	1		\image\effect\fightskill\mingjiao\mj_110_jxhy_b.spr	\image\icon\fightskill\state\jiuxihunyang.spr	1	1	3	九曦混阳
378	body	1		\image\effect\fightskill\mingjiao\mj_110_shlf_b.spr	\image\icon\fightskill\state\shenghuolingfa.spr	1	1	3	圣火令法
379	ground	1		\image\effect\fightskill\emei\em_110_fgzq_b.spr	\image\icon\fightskill\state\foguangzhanqi.spr	1	1	2	佛光战气
380	body	2		\image\effect\fightskill\cuiyan\cy_110_smmf_d.spr		0	1		十面埋伏
381		1			\image\icon\fightskill\state\autocd1.spr	1	0		七绝煞光触发调息中，此时不会再次触发
382		1			\image\icon\fightskill\state\autocd2.spr	1	0		九曦混阳触发调息中，此时不会再次触发
383		1			\image\icon\fightskill\state\autocd2.spr	1	0		寒月烟锁触发调息中，此时不会再次触发
384		1			\image\icon\fightskill\state\autocd2.spr	1	0		擒龙功触发调息中，此时不会再次触发
385		1			\image\icon\fightskill\state\autocd1.spr	1	0		束缚咒触发调息中，此时不会再次触发
386		1			\image\icon\fightskill\state\piaoyishenfa.spr	1	1		作废
387	ground	0		\image\effect\fightskill\tianren\tr_110_sfz_b.spr	\image\icon\fightskill\state\huabuliushou.spr	1	1	3	束缚咒
388	head	1		\image\effect\fightskill\cuiyan\cy_110_smmf_b.spr	\image\icon\fightskill\state\yuxueyin.spr	1	1	3	十面埋伏
389	ground	1		\image\effect\fightskill\wudang\wd_110_wdjyg_a.spr		0	1		万剑归宗
390	ground	0		\image\effect\fightskill\wudang\wd_110_wdjyg_b.spr	\image\icon\fightskill\state\chuanxinduci.spr	1	1	3	剑心通明
391	ground	0		\image\effect\fightskill\kunlun\kl_110_ltj_b.spr	\image\icon\fightskill\state\leitingjue.spr	1	1	2	雷霆诀
392	ground	0		\image\effect\fightskill\tianren\tr_110_fhwj_b.spr		1	1		飞鸿无迹
393	ground	1		\image\effect\fightskill\daliduanshi\ds_110_jtyj_a.spr		0	1		惊天一剑
394	body	1		\image\effect\fightskill\gaibang\gb_10_ymtb_a.spr		0	1		打狗阵法
395	head	1			\image\icon\fightskill\state\chengshuangshi.spr	1	1	3	手套的效果
396	body	1		\image\effect\fightskill\shaolin\sl_100_rysgg_b.spr	\image\icon\fightskill\state\ruyisuogugong.spr	0	1	3	如意缩骨功
397	ground	1		\image\effect\fightskill\tianwang\tw_100_lhdmq_b.spr	\image\icon\fightskill\state\lianhuanduomingqiang.spr	1	1	3	连环夺命
398	ground	1		\image\effect\fightskill\emei\em_100_wxsg_a.spr	\image\icon\fightskill\state\wanxiangshengong.spr	0	1	2	万相神功
399	head	1		\image\effect\fightskill\gaibang\gb_100_bwxj_b.spr	\image\icon\fightskill\state\bawangxiejia.spr	1	1	3	霸王卸甲
400		0			\image\icon\fightskill\state\piaoyishenfa.spr	1	1	2	月华千里
401	ground	0		\image\effect\other\beauty_1.spr		1	0		
402	ground	0		\image\effect\other\beauty_2.spr		1	0		
403	ground	0		\image\effect\other\beauty_3.spr		1	0		
404	head	1		\image\effect\other\radish.spr		1	0		萝卜特效
405		0			\image\icon\fightskill\state\bootskill_s.spr	1	1	2	游龙真气
406	ground	1		\image\effect\other\wldh_aura_1.spr		1	0	1	
407	ground	1		\image\effect\other\wldh_aura_2.spr		1	0	1	
408	ground	1		\image\effect\other\wldh_aura_3.spr		1	0	1	
409	body	1		\image\effect\other\vip_aura_2.spr		1	0		
410	body	1		\image\effect\other\vip_aura_3.spr		1	0		
411	ground	0		\image\effect\fightskill\gaibang\gb_100_mcqh_b.spr	\image\icon\fightskill\state\mingchaqiuhao.spr	1	1	2	明察秋毫
412	head	1			\image\icon\fightskill\state\autocd1.spr	1	0		霸王卸甲触发调息中，此时不会再次触发
413	head	1			\image\icon\fightskill\state\autocd1.spr	1	0		牧野鹰扬触发调息中，此时不会再次触发
414	ground	1		\image\effect\fightskill\public\rage_earth_c2.spr	\image\icon\fightskill\state\fukong.spr	1	0		浮空，无法移动，无法出招
415	ground	0	Red		\image\icon\fightskill\state\zhican.spr	1	0		致残，无法使用轻功
416	body	1		\image\effect\other\deadaura.spr	\image\icon\fightskill\state\lianyufugu.spr	1	0		炼狱腐蛊
417	head	1		\image\effect\fightskill\tianren\tr_100_nzxj_b.spr	\image\icon\fightskill\state\nizhuanxinjing.spr	1	0		逆转心经之作茧自缚
418	ground	1		\image\effect\fightskill\tianwang\tw_100_qkc_b.spr	\image\icon\fightskill\state\qiankunchui.spr	1	1	3	乾坤倒悬
419		1			\image\icon\fightskill\state\autocd2.spr	1	0		逆转心经触发调息中，此时不会再次触发
420	head	0			\image\icon\fightskill\state\fanliangyidaofa.spr	1	0	2	反两仪刀法
421	head	1			\image\icon\fightskill\state\autocd2.spr	1	0		逆转心经触发调息中，此时不会再次触发
422	head	0		\image\effect\fightskill\wudu\wu_30_bphg_b.spr	\image\icon\fightskill\state\yufengshu.spr	1	0	3	御风术
423	head	1		\image\effect\fightskill\tangmen\tm_90_shyy_a.spr	\image\icon\fightskill\state\jiuquyiheqiang.spr	1	1	2	九曲一合枪
424	body	1		\image\effect\fightskill\npc\npc_l_melee_earth_d.spr	\image\icon\fightskill\state\lianshenhuanxu.spr	1	1	2	炼神还虚
425		1			\image\icon\fightskill\state\autocd1.spr	1	0		如意缩骨功触发调息中，此时不会再次触发
426		1			\image\icon\fightskill\state\autocd2.spr	1	0		炼神还虚触发调息中，此时不会再次触发
427	body	1		\image\effect\fightskill\shaolin\sl_10_fmdf_a.spr		0	1		大乘如来咒_发招特效
428	body	1		\image\effect\fightskill\tangmen\tm_100_cyj_a.spr		0	1		穿云箭_发招特效
429	body	1		\image\effect\fightskill\cuiyan\cy_100_fxph_a.spr		0	1		飞絮飘花_发招特效
430		0			\image\icon\fightskill\state\partner\shanchutongban.spr	1	0		删除同伴申请
431		0			\image\icon\fightskill\state\partner\tongbanchongsheng.spr	1	0		同伴重生申请
432		0			\image\icon\fightskill\state\partner\chushouxiangzhu.spr	1	1		出手相助<enter>当前您的同伴正在相助于您
433	body	1		\image\effect\fightskill\cuiyan\cy_100_ylxf_a.spr		0	1		夜来西风_发招特效
434	body	1		\image\effect\fightskill\kunlun\kl_100_flydf_a.spr		0	1		反两仪刀法_发招特效
435	body	1		\image\effect\fightskill\kunlun\kl_100_yfs_a.spr		0	1		御风术_发招特效
436	body	1		\image\effect\fightskill\mingjiao\mj_100_hpfy_a.spr		0	1		魂魄飞扬_发招特效
437	body	1		\image\effect\fightskill\daliduanshi\ds_100_xbjj_a.spr		0	1		玄冰九劫_发招特效
438	body	1		\image\effect\fightskill\cuiyan\cy_90_bxxz_a.spr	\image\icon\fightskill\state\yudalihua.spr	1	1	3	流风回雪
439	head	0			\image\icon\fightskill\state\fanliangyidaofa.spr	1	1	2	两仪化形
440	head	1			\image\icon\fightskill\state\slowrun.spr	1	0		疲惫
441	head	1		\image\effect\fightskill\tianren\tr_50_hyfh_b.spr	\image\icon\fightskill\state\slowall.spr	1	0	3	冰心倩影
442	ground	0		\image\effect\fightskill\wudu\wu_30_wxg_b.spr	\image\icon\fightskill\state\jiuxihunyang.spr	1	1	2	无形蛊
447	head	1		\image\effect\other\state_boss.spr	\image\icon\fightskill\state\tianwangbensheng.spr	1	1	3	天霞护体
448		1			\image\icon\fightskill\state\autocd1.spr	1	0		天霞护体触发调息中，此时不会再次触发
449		0			\image\icon\fightskill\state\yumashu.spr	1	1		士气<enter>占领的资源点越多，获得的增益效果也越强。<enter>4级提升到5级时增加较多
450	head	1		\image\effect\other\tongbanshuofuzhong.spr		1	0		同伴说服中
451	head	1		\image\effect\fightskill\daliduanshi\ds_70_syj_b2.spr		1	0		同伴说服中
452		0			\image\icon\fightskill\state\boluoxinjing.spr	0	1		同伴
453	body	1		\image\effect\fightskill\public\jiehun\qiuhunguanghuan_m.spr		1	0	2	求婚光环男
454	body	1		\image\effect\fightskill\public\jiehun\qiuhunguanghuan_f.spr		1	0	2	求婚光环女
455	head	1		\image\effect\fightskill\tianwang\tw_70_twzy_b.spr	\image\icon\fightskill\state\tianwangzhanyi.spr	1	1	2	天罡战气
456	ground	0		\image\effect\fightskill\shaolin\sl_70_alhsg_b.spr	\image\icon\fightskill\state\aluohanshengong.spr	1	1	2	移花接木
457	ground	0		\image\effect\fightskill\emei\em_10_md_b.spr	\image\icon\fightskill\state\mengdie.spr	1	1	2	润物无声
458	ground	1		\image\effect\fightskill\tianwang\tw_100_lhdmq_b.spr	\image\icon\fightskill\state\lianhuanduomingqiang.spr	1	1	3	如日中天
459	body	1		\image\effect\fightskill\tianwang\tw_70_jzz_b.spr	\image\icon\fightskill\state\jinzhongzhao.spr	1	1	2	固若金汤
460	body	1		\image\effect\fightskill\emei\em_30_chpd_d.spr	\image\icon\fightskill\state\cihangpudu.spr	0	1	2	小水壶_加血
461	body	1		\image\effect\fightskill\public\blade_d.spr	\image\icon\fightskill\state\cihangpudu.spr	0	1	2	小锄头_减血
462	ground	1		\image\effect\other\vip_aura.spr		1	0		
463	body	1		\image\effect\other\wangguan_vn.spr		1	0	1	越南王冠
464		0			\image\icon\fightskill\state\chengshuangshi.spr	1	1		不屈
465	ground	1		\image\effect\other\state_boss.spr		1	1	1	蹲坑中
470		0			\image\icon\fightskill\state\partner\zhuangbeijiesuo.spr	1	0		同伴装备解锁提示
471	ground	1				1	0	2	七夕npc光环_作废
472	head	1		\image\effect\other\state_unlock.spr		0	0		开锁中
473	ground	0		\image\effect\fightskill\emei\em_90_pdzs_b.spr	\image\icon\fightskill\state\cihangpudu.spr	1	1	2	气壮山河
474		0			\image\icon\fightskill\state\zhuifengduji.spr	1	1	2	战神丹<enter>功力暴增，并可使用一些罕见的武功
475	ground	1		\image\effect\other\statue_aura1.spr		1	0	1	
476		0			\image\icon\fightskill\state\partner\zhuangbeijiesuo.spr	1	0		真元解锁申请
477	ground	0		\image\effect\other\beauty_4.spr		1	0	1	10美女活动光环
478	ground	0		\image\effect\other\beauty_5.spr		1	0	1	10美女活动光环
479	ground	0		\image\effect\other\beauty_6.spr		1	0	1	10美女活动光环
480		1			\image\icon\fightskill\state\autocd1.spr	1	0		摘果子
481		1			\image\icon\fightskill\state\chuanxinduci.spr	1	1		五转心法
482	body	1		\image\effect\fightskill\shaolin\sl_120_xlby_a.spr	\image\icon\fightskill\state\daoshao120.spr	1	1	3	行龙不雨
483	head	1		\image\effect\fightskill\tianwang\tw_120_hxwj_b.spr	\image\icon\fightskill\state\qiangtian120.spr	1	1	3	横行无忌
484	ground	0		\image\effect\fightskill\shaolin\sl_90_wxz_a.spr	\image\icon\fightskill\state\chuitian120.spr	1	1	2	化劲诀
485	ground	0		\image\effect\fightskill\tangmen\tm_120_yzz_a.spr	\image\icon\fightskill\state\xianjing120.spr	1	1	3	影纵阵
486	head	1		\image\effect\fightskill\tangmen\tm_120_shd_a.spr	\image\icon\fightskill\state\xiujian120.spr	1	1	3	追魂夺命
487	head	1		\image\effect\fightskill\wudu\wd_120_sxg_a1.spr	\image\icon\fightskill\state\daodu120_2.spr	1	1	3	失心蛊
488	body	1		\image\effect\fightskill\wudu\wd_120_sxg_a2.spr	\image\icon\fightskill\state\daodu120_3.spr	1	1	3	失心蛊
489		1			\image\icon\fightskill\state\zhangdu120.spr	1	0		李代桃僵
490	head	1		\image\effect\other\make_succeed.spr	\image\icon\fightskill\state\zhange120.spr	1	1	3	叶底藏花
491	ground	0		\image\effect\fightskill\emei\em_120_qxjq_a.spr	\image\icon\fightskill\state\fue120.spr	1	1	2	清心静气
492	body	1		\image\effect\fightskill\cuiyan\cy_120_bxyl_b.spr	\image\icon\fightskill\state\jiancui120.spr	1	1	3	冰心玉棱
493	ground	1		\image\effect\fightskill\cuiyan\cy_100_fxph_a.spr	\image\icon\fightskill\state\daocui120_1.spr	1	1	2	黯相望
494	head	1		\image\effect\fightskill\daliduanshi\ds_70_syj_b2.spr	\image\icon\fightskill\state\daocui120_2.spr	1	1	2	相思
495		1			\image\icon\fightskill\state\gungai120.spr	1	1		纵鹤功
496		1			\image\icon\fightskill\state\moren120.spr	1	1		魔刀吞神
497	ground	2	Yellow	\image\effect\fightskill\npc\xoyo_saiyaren_d.spr	\image\icon\fightskill\state\gunshao120.spr	1	1	3	疯魔棍法
498	ground	0		\image\effect\fightskill\wudang\wd_120_yhmm_b.spr	\image\icon\fightskill\state\jianwu120.spr	1	1	3	紫霄横云
499	body	1		\image\effect\fightskill\kunlun\kl_120_jrwy_a.spr	\image\icon\fightskill\state\jiankun120.spr	1	1	3	积壤为岳
500	ground	0		\image\effect\fightskill\shaolin\sl_70_alhsg_b.spr	\image\icon\fightskill\state\aluohanshengong.spr	1	1	2	阿罗汉神功_队友
501	head	1		\image\effect\fightskill\tianwang\tw_70_twzy_b.spr	\image\icon\fightskill\state\tianwangzhanyi.spr	1	1	2	天王战意_友方
502	body	1		\image\effect\fightskill\tianwang\tw_70_jzz_b.spr	\image\icon\fightskill\state\jinzhongzhao.spr	1	1	2	金钟罩_友方
503	ground	0		\image\effect\fightskill\tangmen\tm_30_cds_b2.spr	\image\icon\fightskill\state\cuidushu.spr	1	1	2	淬毒术_队友
504	ground	0		\image\effect\fightskill\emei\em_50_fxcy_b.spr	\image\icon\fightskill\state\foxinciyou.spr	1	1	2	佛心慈佑_队友
505	ground	0		\image\effect\fightskill\emei\em_70_ls_b.spr	\image\icon\fightskill\state\liushui.spr	1	1	2	流水诀_队友
506	ground	0		\image\effect\fightskill\emei\em_10_md_b.spr	\image\icon\fightskill\state\mengdie.spr	1	1	2	梦蝶_队友
507	ground	0		\image\effect\fightskill\emei\em_50_qyfc_b.spr	\image\icon\fightskill\state\qingyinfanchang.spr	1	1	2	清音梵唱_队友
508	body	1		\image\effect\fightskill\cuiyan\cy_70_xyhc_b.spr	\image\icon\fightskill\state\xueyinghongchen.spr	1	1	2	雪映红尘_队友
509	body	1		\image\effect\fightskill\wudang\wd_70_zwqj_b.spr	\image\icon\fightskill\state\zhenwuqijie.spr	1	1	2	真武七截_队友
510	ground	0		\image\effect\fightskill\wudang\wd_70_qxj_b.spr	\image\icon\fightskill\state\qixingjue.spr	1	1	2	七星诀_队友
511	head	1		\image\effect\fightskill\kunlun\kl_30_qff_b.spr	\image\icon\fightskill\state\qingfengfu.spr	1	1	2	清风符_友方
512	ground	0		\image\effect\fightskill\kunlun\kl_70_yqsq_b.spr	\image\icon\fightskill\state\yiqisanqing.spr	1	1	2	一气三清_友方
513	body	1		\image\effect\fightskill\kunlun\kl_70_dgxf_b.spr	\image\icon\fightskill\state\daoguxianfeng.spr	1	1	2	道骨仙风_友方
514	ground	0		\image\effect\fightskill\mingjiao\mj_70_jgtm_b.spr	\image\icon\fightskill\state\jingetiema.spr	1	1	2	金戈铁马_队友
515	ground	0		\image\effect\fightskill\daliduanshi\ds_30_bmsg_b.spr	\image\icon\fightskill\state\beimingshengong.spr	1	1	2	北冥神功_队友
516	ground	0		\image\effect\fightskill\emei\em_90_pdzs_b.spr	\image\icon\fightskill\state\armor.spr	1	1	2	普渡众生_队友
517	head	1		\image\effect\fightskill\kunlun\kl_110_wrww_b.spr	\image\icon\fightskill\state\wurenwuwo.spr	1	1	2	无人无我_队友
518	ground	1		\image\effect\fightskill\emei\em_110_fgzq_b.spr	\image\icon\fightskill\state\foguangzhanqi.spr	1	1	2	佛光战气_友方
519	ground	1		\image\effect\fightskill\emei\em_100_wxsg_a.spr	\image\icon\fightskill\state\wanxiangshengong.spr	0	1	2	万相神功_友方
520	ground	0		\image\effect\fightskill\gaibang\gb_100_mcqh_b.spr	\image\icon\fightskill\state\mingchaqiuhao.spr	1	1	2	明察秋毫_队友
521	ground	1		\image\effect\fightskill\shaolin\sl_90_wxz_a.spr	\image\icon\fightskill\state\chuitian120.spr	1	1	2	化劲诀_队友
522	ground	1		\image\effect\fightskill\emei\em_120_qxjq_a.spr	\image\icon\fightskill\state\fue120.spr	1	1	2	清心静气_友方
