MatchId	Name	IsOpen	MatchOpen	AchieveState	MinLevel	CanJoin	CountType	CurCount	MaxCount	RemainTime	AllStar1	EquipStar1	XuanJingStar1	ExperienceStar1	BindMoneyStar1	PrestigeStar1	AllStar2	EquipStar2	XuanJingStar2	ExperienceStar2	BindMoneyStar2	PrestigeStar2	AllStar3	EquipStar3	XuanJingStar3	ExperienceStar3	BindMoneyStar3	PrestigeStar3	IsPVP	TypeDesc	TimeType	TimeParam	Condition	Award1Image	Award1Desc	Award2Image	Award2Desc	Award3Image	Award3Desc	Award4Image	Award4Desc	Award5Image	Award5Desc	OpenExtendAward	ExtendAward1Image	ExtendAward1Desc	ExtendAward2Image	ExtendAward2Desc	ExtendAward3Image	ExtendAward3Desc	AttendFunc	Param1	Param2	Param3	Param4	Param5	Param6	Param7	Param8	LinkHelpType	LinkHelpName
30	月·逍遥录收集	<%if TimeFrame:GetState("OpenXoyoGameTask") == 1 then return 1; end return 0;%>	<% return 1;%>	<% return 0;%>	89	<% return 1;%>	1	<%return XoyoGame.XoyoChallenge:GetGatheredCardNum(me);%>	<%return XoyoGame.XoyoChallenge:GetTotalCardNum();%>		0	0	0	0	0	0	55	0	57	0	0	0	50	0	57	0	0	0	0	休闲	2	全天	①服务器开放<color=yellow>60天<color>以后<enter>②等级达到<color=yellow>30<color>级<enter>③4人以上<color=yellow>自由组队<color>前往	\image\item\other\scriptitem\xuanjing_008_s.spr	海量的玄晶																ServerAutoPath	1	1							5	逍遥录
32	日·克夷门日常	<%if TimeFrame:GetState("Keyimen") == 1 then return 1; end return 0;%>	<% return 1;%>	<% local nFlag1 = 1; for i = 1, 4 do if me.GetTask(1022,254+1) == 0 then nFlag1 = 0 break; end; end; local nFlag2 = 1; for i = 1, 4 do if me.GetTask(1022,275+1) == 0 then nFlag2 = 0 break; end; end; if nFlag1 == 1 or nFlag2 == 1 then return 1;end; return 0;%>	100	<% return 1;%>	1	<% local nFlag1 = 1; for i = 1, 4 do if me.GetTask(1022,254+1) == 0 then nFlag1 = 0 break; end; end; local nFlag2 = 1; for i = 1, 4 do if me.GetTask(1022,275+1) == 0 then nFlag2 = 0 break; end; end; if nFlag1 == 1 or nFlag2 == 1 then return 1;end; return 0;%>	<%return 1;%>		0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	39	0	0	0	任务	2	全天	①服务器开放<color=yellow>119天<color>以后<enter>②等级达到<color=yellow>100<color>级<enter>③佩戴<color=yellow>3级凌绝及以上<color>等级披风<enter>④家族<color=yellow>正式<color>或<color=yellow>荣誉<color>成员<enter>⑤<color=yellow>单人<color>或<color=yellow>自由组队<color>	\image\icon\task\prize_repute.spr	江湖威望	\image\icon\task\prize_expens.spr	大量的经验	\image\item\other\lifeskill\dsm_0_ring03.spr	龙魂套装材料	\image\icon\task\prize_money.spr	一定的银两										ClientAutoPath	格日勒图--蒙古:2150,1644,3524	拓跋暮云--西夏:2148,1504,2985							5	克夷门
33	日·克夷门龙魂	<%if TimeFrame:GetState("Keyimen") == 1 then return 1; end return 0;%>	<% return 1;%>	<% if me.GetTask(2191,16) == 2 then return 1; end; return 0;%>	100	<% return 1;%>	1	<% if me.GetTask(2191,16) == 2 then return 1; end; return 0;%>	<%return 1;%>		0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	38	0	0	0	任务	1	\setting\task\newcalendar\time\keyimeng.txt	①服务器开放<color=yellow>119天<color><enter>②等级达到<color=yellow>100<color>级及以上<enter>③佩戴<color=yellow>3级凌绝<color>及以上披风<enter>④家族<color=yellow>正式<color>或<color=yellow>荣誉<color>成员<enter>⑤<color=yellow>帮派<color>或<color=yellow>家族<color>组队<color>前往	\image\item\other\scriptitem\xuanjing_005_s.spr	一定的玄晶	\image\item\other\scriptitem\dragoncoin.spr	龙纹银币	\image\item\other\lifeskill\dsm_0_ring03.spr	龙魂套装材料	\image\item\other\scriptitem\dsb_01_0.spr	龙魂·侠影声望										ClientAutoPath	格日勒图--蒙古:2150,1644,3524	拓跋暮云--西夏:2148,1504,2985							5	克夷门
35	周·辰虫镇	<%if TimeFrame:GetState("OpenLevel150") == 1 then return 1; end return 0;%>	<% return 1;%>	<%if Lib:GetLocalWeek(me.GetTask(2177,3)) ~= Lib:GetLocalWeek() then return 0; end; local tbFind = me.FindItemInAllPosition(18,1,1695,1); if #tbFind == 0 then return 1; end; return 0;%>	100	<% return 1;%>	1	<%if Lib:GetLocalWeek(me.GetTask(2177,3)) ~= Lib:GetLocalWeek() then return 0; end; local tbFind = me.FindItemInAllPosition(18,1,1695,1); return 2 - #tbFind;%>	<%return 2;%>		0	0	0	0	0	0	0	0	0	0	0	0	46	0	39	37	0	0	0	副本	2	全天	①服务器开放<color=yellow>146天<color>即皇陵开放一周以后<enter>②等级达到<color=yellow>100<color>级及以上<enter>③拥有高级副本令牌<color=yellow>辰虫镇辟魑锁<color><enter>④<color=yellow>自由组队<color>前往	\image\icon\task\prize_expens.spr	大量的经验	\image\item\other\scriptitem\xuanjing_005_s.spr	一定的玄晶	\image\item\other\lifeskill\dsm_0_ring03.spr	龙魂套装材料												ClientAutoPath	辰虫镇报名官--兀剌海城:2150,1643,3922								5	辰虫镇
36	周·阴阳时光殿	<%if TimeFrame:GetState("OpenBoss120") == 1 then return 1; end return 0;%>	<% return 1;%>	<%if Lib:GetLocalWeek(me.GetTask(2177,1)) ~= Lib:GetLocalWeek() then return 0; end; local tbFind = me.FindItemInAllPosition(18,1,1451,1);  if #tbFind == 0 then return 1; end; return 0;%>	100	<% return 1;%>	1	<%if Lib:GetLocalWeek(me.GetTask(2177,1)) ~= Lib:GetLocalWeek() then return 0; end; local tbFind = me.FindItemInAllPosition(18,1,1451,1); return 2 - #tbFind;%>	<%return 2;%>		0	0	0	0	0	0	0	0	0	0	0	0	45	0	38	36	0	0	0	副本	2	全天	①服务器开放<color=yellow>146天<color>即皇陵开放一周以后<enter>②等级达到<color=yellow>100<color>级及以上<enter>③拥有高级副本令牌<color=yellow>时光令<color><enter>④<color=yellow>自由组队<color>前往	\image\icon\task\prize_expens.spr	大量的经验	\image\item\other\scriptitem\xuanjing_005_s.spr	一定的玄晶	\image\item\other\scriptitem\yinyang_lantianyu_1.spr	宝物-蓝田玉，加工使用后可获得极品武器声望	\image\item\other\lifeskill\dsm_0_ring03.spr	龙魂套装材料										ClientAutoPath	林风扬--阿房宫废墟:132,1900,3811								5	阴阳时光殿
37	日·家园日常种植	<% return 1;%>	<% return 1;%>	<%if me.GetTask(2176, 120) ~= tonumber(GetLocalDate("%Y%m%d")) then return 0; end; if me.GetTask(2176, 121) == 3 then return 1;end; return 0;%>	20	<% return 1;%>	1	<%if me.GetTask(2176, 120) ~= tonumber(GetLocalDate("%Y%m%d")) then return 0; end; return me.GetTask(2176, 121);%>	<%return 3;%>		37	0	37	38	36	0	37	0	37	34	38	0	33	0	35	32	37	0	0	休闲	2	全天	①家族<color=yellow>正式<color>成员<enter>	\image\item\other\scriptitem\xuanjing_005_s.spr	一定的玄晶	\image\icon\task\prize_expens.spr	一定的经验	\image\icon\task\prize_money.spr	一定的银两												ClientAutoPath	马穿山--临安:29,1745,3946	马穿山--襄阳:25,1516,3080	马穿山--凤翔:24,1781,3596						5	家族种植
38	日·家族插旗	<% return 1;%>	<% return 1;%>	<% return 0;%>	20	<% return 1;%>	1	<%return "--";%>	<%return "--";%>		36	0	0	28	0	0	36	0	0	27	0	0	32	0	0	24	0	0	0	休闲	2	全天	①家族<color=yellow>正式<color>成员<enter>	\image\icon\task\prize_expens.spr	一定的经验																KinFlag										
40	日·皇陵盗亦有道	<%if TimeFrame:GetState("OpenBoss120") == 1 then return 1; end return 0;%>	<% return 1;%>	<% return me.GetTask(1025,77);%>	100	<% return 1;%>	1	<%return me.GetTask(1025, 77)%>	<%return 1;%>		0	0	0	0	0	0	0	0	0	0	0	0	48	0	49	35	0	0	0	任务	2	全天	①服务器开放<color=yellow>139天<color>以后<enter>②等级达到<color=yellow>100<color>级及以上<enter>③佩戴<color=yellow>5级御空及以上<color>等级披风<enter>④<color=yellow>单人<color>或<color=yellow>任务组队<color>完成	\image\icon\task\prize_expens.spr	大量的经验	\image\item\other\scriptitem\xuanjing_005_s.spr	一定的玄晶														ClientAutoPath	梁笑笑--阿房宫废墟:132,1945,3309								5	秦皇陵
41	日·家族挑战	<% return 1;%>	<% return 1;%>	<% return 0;%>	20	<% return 1;%>	1	<%return "--";%>	<% if TimeFrame:GetState("OpenLevel150") == 1 then return 1; end;if TimeFrame:GetState("OpenLevel99") == 1 then return 2;end; return 4;%>		47	0	49	47	0	0	35	0	49	33	0	0	29	0	46	23	0	0	0	休闲	2	全天	①家族<color=yellow>任何<color>成员<enter>	\image\item\other\scriptitem\xuanjing_005_s.spr	一定玄晶	\image\icon\task\prize_money.spr	一定的银两	\image\item\other\scriptitem\jianglibaoxiang_jin.spr	一定的药材等宝物												ClientAutoPath	马穿山--临安:29,1745,3946	马穿山--襄阳:25,1516,3080	马穿山--凤翔:24,1781,3596						5	家族挑战
42	周·铁浮城战	<%if TimeFrame:GetState("GlobalKufuBattle") == 1 then return 1; end return 0;%>	<%local nNowWeek = tonumber(GetLocalDate("%w")); if (nNowWeek == 6) then return 1; end return 0;%>	<% return 0;%>	100	<% return 1;%>	1	<%return "--";%>	<%return "--";%>		0	0	0	0	0	0	0	0	0	0	0	0	59	59	32	32	0	54	1	对抗	1	\setting\task\newcalendar\time\kuafuchengzhan.txt	①帮派<color=yellow>任何<color>成员<enter>②等级达到<color=yellow>100<color><enter>级及以上<enter>③佩戴<color=yellow>6级混天及以上<color>披风<enter>	\image\item\equip\mantle\ma_mantle10_s.spr	华丽城主/勇士披风，全面提升包括生命、内力、抗性、紫霞神功等级在内等重要人物属性。	\image\item\equip\horse\horse001_s.spr	战场神驹-增加100%移动速度，对生命、体力、闪避值都有极大点数的提升。	\image\item\partnerequip\amulet\partner_lv3_3_s.spr	同伴最高3级装备												ClientAutoPath	铁浮城远征大将--临安:29,1449,3898	铁浮城远征大将--襄阳:25,1491,3030	铁浮城远征大将--凤翔:24,1659,3465						5	跨服城战
43	周·科举【殿试】	<% return 1;%>	<%local nNowWeek = tonumber(GetLocalDate("%w")); if nNowWeek == 0 then return 1; end return 0;%>	<% return 0;%>	30	<%if me.nLevel >= 30 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<%return "--";%>	<%return "--";%>		58	0	0	0	59	0	59	57	0	0	59	0	55	39	0	0	59	0	0	休闲	1	\setting\task\newcalendar\time\kejudianshi.txt	①等级达到<color=yellow>30<color>级<enter>②本周科举【乡试】成绩达到<color=yellow>900分<color>	\image\item\equip\horse\yuxiaoyao_s.spr	状元马	\image\item\other\extbag\zhuangyuanbao.spr	18/15格子背包	\image\item\other\scriptitem\jh_shinv1.spr	绑金跟宠【小书童】												ClientAutoPath	吴潜--临安:29,1558,3676	王之望--扬州:26,1668,3218							5	殿试
