Id	Map	ClassName	MapId	Msg	Option1	Option2	Option3	Option4	Option5	Option6	Option7	Option8	Option9	Option10	Option11	Option12
111		tianwangwushi		来者请报上今日暗号！不知道暗号？看来不是同路人，这里危险你莫要在附近闲逛了！												
112		shoutaidizi		虽然我只是一介武夫，却也懂得先有国再有家的道理。纵然只是一名小卒，鞠躬尽瘁总会有一丝用处！												
113		xieyutian		人说我不苟言笑，心细如尘。实则皆因天下混沌内忧外患啊！秋实掌门于我有恩，我定然助他重振我门雄风。												
114		huanghengzi		人总是想要得到些什么却不曾想过自己付出过什么。												
115		yuxuzi		一条潇洒的人生路。既是我向往的，又是我害怕的，既是我害怕的，又是我渴求的……												
116		feiguangzi		娘亲让俺回家接手铁铺的生意，可眼下这里需要俺！咋能撂挑子不管那？												
117		longjiaotian		大丈夫行事,爱怎样便怎样,行云流水,任意所至,甚么武林规矩,门派教条,全都是放的狗臭屁。												
118		juechenzi		绝尘拔俗是旁人对我的评价，现如今我只关心两件事，其一是国家的危亡，其二则是我的剑法造诣。												
119		bashanzi		力拔山河那只是家人希望我变得强大！可现实中，一个人的力量再强也无法左右朝代的变迁。												
120		piaopingjianke		十年磨一剑，霜刃未曾试。今日把示君，谁有不平事。												
121		qiushixiansheng		江湖中对于我的猜测和传言很多，但叹息老人托我把握昆仑大局，我定然不辱使命，重整昆仑。												
122		gongyangtai		这位少侠，看你身轻如燕，步伐坚定，两眼炯炯，真气内敛必定武功不凡，怕我也不是你的对手罢。真是长江后浪推前浪！												
123		lijingwu		这位少侠，看你面有倦色，我来讲个笑话为你解闷！你想听笑话还是冷笑话？												
124		xunshandizi		在这人毛都没有的深山老林里巡逻可要自己经常自言自语，否则时间长了讲话都困难了。												
125		shouguanwushi		一夫当关，万夫莫开。哈！！												
126		lishengyang		身边的人有阿谀奉承总是带着目的与利益，而对我提出异议和批评的人却少得可怜…												
127		weichangfeng		寒风长漠漠，午后征四方。季季皆离伤，傲雪独飞扬。												
128		yipintangtiewei		来者何人！所为何事？速速报上名来，我好通报一声！												
129		yipintangwushi		你？不就是江湖上名声鹊起的少侠，今日相见却觉得你亲切的紧。有什么事情我可以代为效劳的？												
130		youletian		你经过的每一个村庄，每一个城市，都需要你付出时间甚至生命，所以要学会保护自己！ 												
131		taoyongchang		无事不登三宝殿，来者必有所求，说吧不必拐弯抹角！没事吗？												
132		yiyezhenren		人生于世，有情有智。有情，故人伦谐和而相温相暖；有智，故明理通达而理事不乱。												
133		tianlongmenchuanren		我本一介耕田卖瓜的农夫，偶然机会得天龙门长老收留，并给我银子安置爹娘。这是我哪一世修来的福分？												
134		ditangdaotouling		也许你们看到的是华丽的攻击，却不曾了解刀在华丽背后的泪水。												
135		shenmilaozhe		我是个挖菜的山里老头，你来找我何事？找错人了吧！												
136		kongwudashi		得不到的东西我们一直以为是美好的，那是因为你对他了解太少，没有时间与他在一起。当有一天，你深入了解后，你便会发现原不是你想象中那么美好。												
137		wangchongyang1		武当功夫，遵三丰一脉，内执丹道，外显金锋，是道演良工。剑学存真，乃于有形中求无形。												
138		zhikeseng		这古刹内甚是古怪，施主若来上香求佛还是改日吧，只要有善心，佛祖自然会保佑施主。												
139		xuanci		人生在世如身处荆棘之中，心不动，人不妄动，不动则不伤；如心动则人妄动，伤其身痛其骨，于是体会到世间诸般痛苦。												
140		xuanku		大悲无泪，大悟无言，大笑无声。												
141		chenghui1		菩提本无树，明镜亦非台，本来无一物，何处惹尘埃。												
142		chengguang		培植一个人需得千日言，毁灭一个人却只需一句话，施主行走江湖还望多口下留情。 												
143		huchedizi		这车上装的是些茄子，你要打开来看看吗？												
144		jimin		上个月那只烧鸡坏了，被我扔掉喂狗了。现在想想真是又浪费又后悔！												
145		zhenghao		名字里有个好字未必就是个善人，可我偏偏真真是个大善人那！												
146		zhuzili		家里兄弟多，我便是家中排行中间的。爹娘总是把我忽略掉，就连名字也是在告诫我要自己靠自己的力量那！												
147		haoweisuo		做一个有名望的人，不猥琐，不做作。												
148		wanyanzongqin		完颜家族对大金国的贡献自然不必多说，想必你也久闻我家族大名吧？												
149		wanyanshi		儿时我因剑速太慢，臂力太弱，被父王罚我拉弓一千次。今天想来我是要感谢他的！												
150		lishier		都忘了，花便盛开了。都忘了，河水便平静了……												
151		wusa		江湖中你争我夺皆为名利，到头来都是一场空！平平淡淡才是真啊。												
152		xuanzilaoyuzu		我所看守的都是重犯，休想贿赂我！												
153		ninglizhou		我们可以被打败，但是不可以被打倒。你能明白我的话么？罢了，很少人能明白我！												
154		yelvchou1		我金国皇陵地下有些禁地，你初来乍到，我们对你的底细不慎了解，有些地方还是不要去的好！												
155		yuyi		囚犯犯下错误固然应当付出代价，然而医治病痛却是我的职责，不论他是皇帝或是囚犯。												
156		tianzilaoyuzu		我小时候有个毛病，喜欢用树枝在地上写字，却不喜欢用毛笔在纸上写字。因为前者可以被擦掉，正是因为这样，我的书没读好，于是乎我现在还是个狱卒…												
157		dizilaoyuzu		我在这地字狱中做看守有已十余春秋，前几年这里看管的多是些犯了抢夺或杀人罪的犯人，而今却多了些文弱书生样的犯人，真相不明白！												
158		wanyanxiang		王侯将相，宁有种乎？我完颜襄一生戎马，全凭真真的本事才有今天的位置！燕雀焉知鸿鹄之志。												
159		tiefutugaoshou		真正的武士不比他杀过多少人，比试杀了多少人的都是些不懂武学真谛的狗屁混帐！												
160		tianmudaozhang		道，乃无疆界国界之术。我听闻武当有一道人仙骨凛凛，可隔空取物，真想与他会会。												
161		zhishishitai		施主，你心中有烦恼。将烦恼放下过好现在吧！												
162		lingruoxu		一寸光阴一寸金，寸金难买寸光阴，孩子，年轻的时候多努力些，等到了我这把年纪想做些什么也都来不及了。												
163		menfangdabo		这九老峰有个门派叫做峨眉。上面的弟子们都是些水一样的姑娘，她们心地也善良的很！												
164		huofangdaniang		我老伴是门房大伯，每天尽喜欢看那些个漂亮姑娘，不过啊我不说他，我自己也喜欢那些个姑娘们，呵呵！												
165		peidununi		人之初，性本善，性相近，习相远……每天听小姐念书我都能跟着背上几句，(*^__^*) 嘻嘻……												
166		ruyi		我的嫁妆都是小姐送的，该死的强盗，简直禽兽不如，呜呜呜……												
167		shiweitongling		我肩负重任，无暇与你说笑啊！												
168		wuxi1		人生短短些许年，不做番大事怎么成！仇雪那姑娘性格爽快，敢爱敢恨，我甚是喜欢，我定当为她杀金狗报仇！												
169		chouxue		九老峰瀑布下那些美丽的小鱼，它们睡觉的时候也睁着眼睛。不需要爱情，亦从不哭泣，它们从今后便是我的榜样。												
170		jiminliupin		上个月那只烧鸡坏了，被我扔掉喂狗了。现在想想真是又浪费又后悔！												
171		dongfangxunwei		以往这个时候我都在睡大觉，此时非彼时，稍有疏漏随时便把危险放进来了.												
172		nanfangxunwei		北方是我家乡的方向！												
173		xifangxunwei		我每天迎着朝阳！												
174		xunwei		最近没什么异常，但巡查的次数明显增加了！												
175		louyiguan		行走江湖，你将接触形形色色的人，将自己的心胸放宽再放宽，学会接受和宽容，这便是江湖！												
176		yalaotou		呀……啊……呀……												
177		qingbaofangdizi		最近事挺多的，嗓子都喊哑了！不行，我得去整点胖大海泡着喝！												
178		chujie		杨铁心帮主接下的摊子可是个大摊子，我等定当全力协助，若有动摇军心者，我第一个不放过！												
179		baipu		今天，如果我们战死，那是为了保卫我们的孩子，我们的父母，我们的爱人……												
180		jishubanmenxiadizi		季管事为我帮效力多年，待我如亲生父亲般！												
181		jihou		我那小儿子生性贪玩，奈我如何教训也改不了那顽劣脾性，我真担心他将来会生出什么祸端啊！												
182		xiongting		君子坦荡荡,小人长戚戚，裘止水与我同时入帮，论情谊我要叫他一声大哥。对我大哥不义，也就是对我的挑衅！												
183		luxiaolan		爹娘为我取的名字像个女儿家，我却生性好动。我最大的爱好便是与人比武，方圆十里八村的没人能打赢我，哈哈！												
184		huosi		当年采石矶一战丐帮的损失无法估算，以身殉国的大义怕不是你我说说这样简单。												
185		yingjiuwen		你是何门派，所为何事前来？莫不是为着丐帮的祭祀大典而来？												
186		huashi		江山如画！难道这如画的江山在数十年后就只能从我这画纸上寻觅！我手中的画笔能否唤醒人们麻木的记忆？												
187		hanposhan		人们都叫我鬼面圣君，可能是因为我特别冷酷也特别潇洒吧。												
188		murongxiangjun		我慕容家是个大家族，可惜我是个女儿身，习得武艺亦不会有太大的作为。是这样吗？												
189		wangerchu		大宋江山多娇，北方的人民在等着我们，我的妻儿还在北方，现今金国的统治下不知他们过得可好？												
190		mengkecunzhang		今日总隐隐听见夜里有女人唱歌，难道是我老了耳根子也不中用了？												
191		mengkecunmin		自从五毒教众人躲来我村庄避世后，我村庄便灾祸不断，若不是他们有心制造事端，便是这风水出了问题！												
192		qisi		上一次村中祭祖我便没能回去，家中几位哥哥们一定在背后骂狠我了！今年说什么也要回去，否则入土后都进不了祠堂拉！												
193		muronglaoba		我真名慕容聚明，不知何时起人们都叫我老八。可别看扁我，我老八替朋友办事那可是数一数二的仗义！												
194		xuebaice		人生天地间总要在死后给人留个念想不是，呃……或许我当考虑考虑我的人生大事了？												
195		yinpopo		人到老了，心里剩下的越来越多的便是些牵挂和回忆，初次见他的情景我至今依然记得清晰！												
196		youqingsu		你在江湖中的侠义事迹我早有耳闻，你可认识五毒教的卢笑贫么？												
197		fangduo		哎，我本来想随便当个混混，随便赚点钱，成个家……现在一不小心便当上了大侠！												
198		xunyeren		你觉得在黑暗中我就会被淹没吗？不！我是那么拉风的一个男人，就像黑夜中的萤火虫一样。有时候我也很讨厌自己的光芒！												
199		tanxilaoren		难道仁德一定要败给暴政，天理一定要输给强权吗？唉……												
200		susu		昨日学了首汉人的歌曲，那个音律真是奇妙，可惜不能当着大伙的面儿唱出来！												
201		yerenxiaoyuanyou		别害怕！我不会伤害你……我长期不与外界接触，已不知秦汉魏晋，听说现在宋朝的都城迁至临安了？												
202		yerenyingzixiu		啊！有活人!哥哥哥哥！这里有个长得很俊的活人！												
203		xuanbei		莫要因为小小的争执，远离了你至亲的好友，也莫要因为小小的怨恨，忘记了别人的大恩。												
204		chengqian		有时候人为了一个可笑的念头执着不放手，到头来却是一场空啊！												
205		liaofan		我不相信誓言,但我可以接受它。我不相信永恒的爱情，我宁愿相信它。												
206		baishizhetongling		这里不是你想来，便能来的地方。为师者有自己的使命，然为徒者更要放低你的姿态，从最基础做起！												
207		luxiaoran		我见过许多急功好利的年轻人，你却和他们不一样。做事情为了收到赞赏那么还不如不做！												
208		zhongzhiming		自古以来，行侠者佩剑而行。剑乃兵器之神，凛凛然有君子之风！												
209		linghezhenren		剑胜人，则人仗剑势；人胜剑，则剑仗人势。												
210		shenmijinren		你看我像哪里人，听我的口音像哪里的？恩，我可不能告诉你呢！												
211		dongxuzhenren		人传我是吕洞宾的再传弟子，至人无己，神人无功，圣人无名。名利均乃身外物，但求无愧于心！												
212		longxiaoxiao		为道者心术不正，后患无穷。道者讲求阴阳调和，过于自谦或自负者不能成大器也！												
213		xizuotongling		每天你都有机会和很多人擦身而过，我希望你能把我忘了。不为什么……												
214		luoyixia		每天你都有机会和很多人擦肩而过，而你或者对他们一无所知，不过也许有一天他会变成你的知己和朋友。我的绰号是“乐一下”我的名字是洛一夏。												
215		yingjiuwendetudi		我拜师学艺时经过九重关卡考验，如今每日接受师父九个问题，不知将来是否有福娶九个老婆呢？												
216		shouwei		是自己人吗？上次放了个奸细进来，我就被管事的扣了半年工钱，哎做小兵的也不容易啊！												
217		yueyingshaqiu		听你口音是个外乡人，在这里吃住得可习惯吗？这里本是个世外桃源，现如今已经被掘金的入侵者搞得鸡飞狗跳，美景已化作云烟。												
218		wangfujiang		兄弟之情：死生相托，吉凶相救 ；福祸相依，患难相扶。												
219		yelvchucai		有容乃大，无欲则刚。容是别人，欲是自己。这样的江湖才闯得舒畅！												
220		puchafengnu		我加入天忍比教主更早，也算是战功赫赫，如今却并无实权，若没其他事情请你走罢。												
221		jingluanshi		连年的战火给无辜的孩子们心中留下了抹不去的阴影，金国多是主战一派，我却每天晚上在为我的人民念诵经文，望他们少受些苦难。												
222		rongtu		我本是宋国人，因天忍教有恩于我，在此为本教效劳，不知可有你用的上我的地方？												
223		wuxinshitai		眼睛不要老是那么在意，我且问你，百年以后，哪一样是你的？												
224		liyuankai		今天，如果我们战死，死在这片战场上我们虽死犹荣。												
225		fucong		人们常说我聪明，正如我的名字一样。我却觉得有些事情糊涂点好，难得糊涂啊。												
226		wunianshitai		一树开五花，五花八叶扶，皎皎峨眉月，光辉满江湖。												
227		qianchongguang		将心里那份感情收在最深的地方，先让自己忙起来吧！												
228		lingfengyan		我峨嵋派虽皆为女弟子，行侠仗义豪情生死却绝不输给男儿！关乎国家兴亡，我峨嵋定不会袖手旁观！												
229		shinvchuping		奴家打六岁起便跟了小姐，小姐视我如同姐妹，十多年来都不曾责罚奴家，我愿终生相随。												
230		tangque		数十年前，武林正道、民族大义，对唐门中人均无意义，他们只生活在自己的世界里。既不愿与名门正派结交，也不屑与邪魔歪道为伍。而今形势逼人，不得不广纳天下贤才壮大我门派了！												
231		tangxiao		天下才共一石．我独占八斗，唐遇一斗，天下人共分一斗！												
232		yinyie		曾经有过的狂妄，如今被这乱世岁月磨得没有棱角，羞愧啊……江山社稷便靠你们年轻一辈了！												
233		xiabingchen		我爱上了一个人,怎么办呢?好痛苦啊！但是,我却愿意继续痛苦下去。												
234		tangyu		我的存在仿佛是多余的！即便我立刻消失也不会有人在意吧？但是我却要好好的活下去，为了唐家堡为了我自己！												
235		tangfei		唐家堡屹立百年不倒自然有其不凡之处，我看你身手不俗，说不定能接我三招。												
236		tangwu		我的名字里虽然带个武字，功夫却是同门师兄弟中最差的，我只喜欢炒菜，为师兄弟们做出可口的饭菜便是我最得意的事，门主都夸赞我的手艺！												
237		tangchonglou		唐门武学分为袖箭与陷阱两路，讲求灵动机警，并要有扎实的功底，两路实力亦不相上下。												
238		tangchonglan		唐门几个管事的人我最欣赏唐遇，他虽不是门主最宠信的儿子，却是做事最为认真的一个，可人们却忽视了他的许多优点。												
239		tangru		我乃唐门功夫房总管！若是前来挑战便请回吧，最近忙得紧！												
240		tanghe		我便是人称唐家四老之一的唐鹤。如今的后生里人才济济。个别年轻人我都没有把握战胜，但是我奉劝年轻人一句话：做人莫要太嚣张。												
241		tangjunrong		你好，你去过唐家堡吗，我好久不曾回去了。但是它一直在我的心里，心里那块地方一直留给最亲切的人。												
242		yinyouyu		数年前，翠烟门经历了一场浩劫，现如今翠烟门自老一辈的百花使们已各有际遇。我将担当起重整翠烟门的责任，你会帮我吧？												
243		rourou		繁华落，林深处。试问飞花何处归，但见飞花葬流水。爱情美好而幸福却终像这飞花一般脆弱……												
244		yanqiaoyun		人们都叫我钻天燕子！我爹爹本是大宋宫廷医官，现在他老人家已不在了，我却也学的些基本的医术，日后若有用的到小女子的地方只管开口便是。												
245		danbixiu		翠烟门渴求忠肝义胆的侠义之士，近年来不少男弟子加入我门，我门实力大大提升，相信再也不会犯从前的错误啦！												
246		cuiyanmendizi		翠烟门武功奥妙无穷，分为刀与剑两路！刀，我所欲也；剑，亦我所欲也。这可如何是好呢？												
247		yanbeitian		我乃汉人，将汉族的文化带到这里，再学习萨满教信仰者的勇猛刚毅，萨满教是一块神圣地，不容居心叵测者侵犯！												
248		rongjiaojiao		看着姐妹们现如今都各有归宿，我真感到高兴！我翠烟的实力如今可是不容小觑哟！												
249		zhugezhuoyun		每一日我都刻意收敛我的才学与光芒，但金子总会发光！												
250		guyuehua		我儿时在苗疆成长，儿时的一场大火毁了我整个家族，幸得无念师太舍身救我，我才有今天。												
251		xieren		然经过拼死一搏，我把多少敌人送上了黄泉路？又是多少次差点命丧黄泉？												
252		linghua		汤圆汤圆我把你吃掉，铜钱铜钱我把你种下！												
253		linghuayeye		一辈子在山里过着逍遥自在的生活，不曾想到临老的时候遇上乱世，唯一放不下的便是我那小孙女了。												
254		jingsiziren		别人经常说我帅。可是男人帅有何用？要么能文，要么能武！												
255		guningshan		一个人要做的事，不仅要为了自己的豪情壮志，更要考虑到能不能给天下苍生做点什么！												
256		yanmulin		其实，我的理想是做一名车夫，因为车夫可以拉着很多很多人走遍我大宋美丽富饶的疆土！												
257		dariachi		老衲有生之年的夙愿便是将一身武学传承下去，但现如今的年轻人大都耐不得寂寞轻浮急躁，练功确是件苦差事，你有合适的人选推荐吗！												
258		zhangshande		我张善德从小的心愿便是做个大侠，锄强扶弱，人人提起我便举起大拇指。可是现在我才明白，要做到如此谈何容易？												
259		xuzhongliu		爹娘为我取名为中流，寓意望我成为国家的中流砥柱。可现在看来，我还是一只举足轻重的小蚂蚁，不过就算只小蚂蚁也有它自己的喜怒啊！												
260		wangyuanfeng		我们可以犯错，可以盲目，可以迷茫，可以但不可以绝望。												
261		nangongwaner		唉......天不老，情难绝。谁借我一杯忘情水？												
262		xinuoluo		菠萝菠萝蜜出卖我，嘛咪嘛咪哄不是好惹的！！哦对了，这是我的别称，一般人我不告诉他。												
263		sumoyang		大散关乃宋金交接之要地，已经打了大大小小多少场？这大散关本就是黄沙滚滚，再加上硝烟弥漫的战争，透出的尽是凄凉。												
264		liuquanbao		这临安城看似繁荣热闹，危险却步步临近！朝中局势不稳，我大宋江山常青就靠你们这些才智双全的后生了！												
265		liuzhonglin		三十年前，采石矶一战成为我的一块心病。多年来，那最不想记起的一战已经被我封存在心底最深的地方。朝廷一纸命令却将我调到了这里驻守，造化弄人那！												
266		qiankanshou		当看守这个差事有点闷得慌。昨天有人给我讲了个关于乌鸦的冷笑话…怎么这么快就给忘了，瞧我这记性！												
267		zhanghan		很多人不需要道别，因为只是路过而已，遗忘便是我们给彼此最好的纪念。												
268		longyixian		十年前与她在岳阳楼相遇惊为天人…一瞬之间，光阴似苒，恍如几度春秋也。												
269		shenruonian		采石矶对丐帮乃至大宋都有着特殊的意义。每一年，丐帮都会举行祭奠仪式，祭奠的正是这一战中牺牲的英雄们。												
270		xuxueyuan		我最近在研究周易，啊，年轻人，你的印堂间隐隐透出一股黑气，莫非近期有什么不顺心之事？												
271		yanghongzhong		请你让开点好吗？你的脸太大了，挡住了我的阳光……												
272		suntingluo		我孙庭骆要抛头颅，洒热血，帮当今的皇上匡扶大宋江山！ 												
273		gaonan		你猜猜，我一顿能吃几碗干饭？												
274		laozuitou		世人皆醒我独醉。喝酒为的是喝醉，为的是那腾云驾雾的感觉。我喜欢竹叶青多过女儿红，你呢？												
275		qianduoduo		苦，可以一个人苦；福，要分享给众人福，嘿嘿！												
276		yaxian		娘亲不让我与伏牛山当地男子成亲，她想让我嫁得远一些，可是我和阿牛哥的事情要怎么才好？												
277		anuo		我乌蛮一族本是个大部，常年在大理隐居。苦神是我乌蛮一族信奉的神明，关于苦神的传说我已经讲过一千七百次，你愿意成为第一千七百零一次的聆听者吗？												
278		haga		我一定将铸剑坊李本源这狗贼赶出点苍山！趁火打劫欺负山民，不拿下这狗贼对不起我头上带的狗皮帽子！												
279		yinyunasi		当在乡间小路上，你遇到向你乞讨的人，请不要将你的头抬高，将包裹里的食物分给他们一点吧！或许你救了一个未来的勇士！												
280		dingwu		你是专门来看我的吗？哦谢谢！不用为我担心，我是谁啊？比仙人掌还厉害，插哪就能活哪！												
281		zichu		还记得家父对我的教导：男子当顶天立地，鹰爱高飞，鸦栖一枝。惜如今，子欲孝而亲不在……												
282		nuhounasi		我见过最伟大的明教弟子，也见过最卑鄙的天王帮帮众，你不应该以他们的门派来衡量他们的人格。												
283		xiaomoer		人不可貌相，海水不可斗量。东村的小瘦子竟然能抱的起一只小牛犊，以后再也不笑他啦！												
284		damoer		世道变了，当下见到一些坏人，一些不好的事情都不知道要如何与孩儿们解释。												
285		dufukang		我痴痴的等,幽幽的怨,默默的相思,深深的眷恋,望穿了秋水,辗转了缠绵,想坏了脾胃,思伤了心肝,时刻把你挂念,总想深情的问:何时请我吃饭？												
286		qinkui		朝廷办法公文召集我部严惩北营和南营叛军。我之前与他们的头私下有些来往，言谈间竟能感到他们忧国忧民的气概，如今说他们会反，我实在不愿相信！												
287		guhaichao		没事老点我干嘛？麻球不麻球烦…啊！不好意思我失态了！												
288		renyuying		众生皆平等，就像这佛祖一样，每日祷告的人数以千计，他都静静聆听，不偏不倚……												
289		dagu		伏牛山因山势像一头卧息的公牛而得名，这里的百姓勤劳淳朴，近年来却常常受到不明来历的江湖人士侵扰，再不得往日安宁咯！												
290		wensubai		儿时的玩伴都唤我小白，如今人大了，有点名望和地位了，却不曾有人再这样唤我！那一声小白便成了回忆！你能再唤我一声小白吗？												
291		longzuochanshi		佛陀从不勉强别人去做他不喜欢的事情，佛陀只是告诉众生，何者是善？何者是恶？善恶还是要自己去选择，生命还是要自己去掌握。												
292		zhangyun		纵横疆场，放荡不羁，随性天地间那是我的终极追求，就犹如我名中的一个“云”字，随风飘，无烦恼！												
293		atong		昨天吃的糯米糕粘糖真不错啊！不过好像家里的糖没了！												
294		xiwumanmishi		我愿助君王成就一番大事业，却没有人欣赏我。罢了，那些不识抬举的官吏们，不与他们一般见识！												
295		jiru		右手有些酸啊！你看看我的右胳膊是不是比左边的粗…												
296		huimingchanshi		认识自己，降伏自己，改变自己，才能改变别人，改变这天下苍生。												
297		luomusi		我听说这世间上有个人拥有一把扇子，每天能许三个愿望并且成真，要是能那样就太好啦！												
298		tongjiayu		城南三十里地有个麻子，听说他会卜算天机，也帮人取名测字。最近的烦心事多的很，难道我今年是流年不利？改日我便去占上一卦！												
299		dongwumanmishi		三年前我从山寨来到了大城市里，雄心壮志，以为在城里可以开一家最地道的野味烧烤店，真没想到城里人却不吃这一套，还嫌弃我店里的环境差。去他娘的老子不受这土鳖气了！												
300		qiliangxiurong		不少大宋贼子已经混入我西夏，这些奸细逮一个杀一个！												
301		feishixiang		作为丈夫，作为父亲，不能在亲人面前轻易掉泪，即使是死一般的痛苦也要微笑，因为我是一个男子汉！												
302		chaiting		任何一件事情，只要心甘情愿，总是能够变得简单。这些绸缎中你钟意哪个颜色？												
303		limu		将来我和大壮成亲，请一定前来喝喜酒！												
304		laomoer		为什么大默尔和小默尔做的菜都比我做的好吃？难道是我做得太难吃？												
305		sunfujiang		不知这一仗什么时候才能打完，不知回乡的时候再见我那80岁的老母和8岁的孩子时将是什么样的情景！												
306		tuzidan		别人说一听我这名字定然是深藏不露的武林高手，哈哈哈哈…我怎么一点也不觉得呢？												
307		dazhuang		外乡人在这城中想找口饭吃不容易，好在我这琴弹的还不赖，每天亦能吃得饱！我心爱的人儿哟，你何时才能归来哟喂…												
308		tuya		来跟我提亲的男子条件都很好，只是我不喜欢。我一人拉扯阿布并不容易，但却很快乐。												
309		momoer		我的烟叶都是在最合适的时候摘采，有一部分还敬贡给皇帝老儿！哈哈你要不要尝尝皇帝老儿抽的烟啊？												
310		xiangyuxian		不管别人怎么评价他，他始终是我心中的独一无二，风度翩翩的侠客。												
311		xingbutou		只要能保一方平安,吃再多苦,我也不在乎,受再多累,我总能面对。												
312		moji		你也是来向我讨要字画的吧？告诉你，本姑娘只卖艺不卖身！												
313		xubinjian		前些日子我遇见一个手无缚鸡之力的穷书生，他死气白咧的求我教授他剑法，说是要保家卫国！虽然觉得可笑，却也感觉到那是百姓的觉醒！												
314		abu		娘亲说了，遇见样貌凶悍，长着大胡子，衣衫裸露之人万万不得靠近，那多数是蛮族！哦，我可不是说你哟！												
315		dariluo		看见我背后这个神罗没有，哈哈谁对我不敬，我便收了他！												
316		dasao		怎么撒谎？我告诉你一个笨方法：辣也不说……疼也不说疼……喜欢也说不喜欢……这样便行了，可不要说是我教给你的哟！												
317		maitanweng		卖炭得钱何所营？身上衣裳口中食。但愿冬天快些到来……												
318		songdongcai		我怎觉得少侠如此眼熟，莫非…莫非… 啊！对不起是我搞错了！												
319		conghai		人啊……想要保护最爱的人的时候，便真的能变得很坚强。												
320		yinhanyan		自我与一尘打海外仙山归来，这翠烟门便不曾太平过，好在一群武林侠义之士出手相助！你便是其中的一个。												
321		tangyichen		你对我的过去了解多少？不要试图猜透我，我曾后悔自己犯下的错，然而对与错谁又能说得清？												
322		tangyang		眼下最最紧要的是将唐家堡里这些大大小小的乱子理清理顺，我可没工夫跟你闲扯皮啊！												
323		tangwan		每经历一场历练，你便成熟几分！这是师父常对我说的话，现在看来这确实在理！												
324		tangkaijing		儿女情长，江湖义气，在面对国家兴亡之时刻都可以舍去！												
325		tangjishi		你虽然武功不俗却入世不深，江湖上一些捕风捉影的传闻莫要理会，穿自己的鞋，走自己的路！												
326		tangya		我有沉重的现实要去面对和承受，那么所有的感情都会逐渐的平静和淡忘。												
327		tangrou		唐峰哥哥稳重干练，唐远哥哥风度翩翩。我也一时为难，你替我出出主意吧！												
328		xiaorou		别人说我是小姐身子丫鬟命，我却不想这么多，能跟在小姐身边伺候是我的福分，难得摊上个好主子！												
329		tangfeng		人的命运到底是像浮云一样，还是能够跟随着自己的意愿走呢？无论如何，此次错在我，我至今不能释怀！												
330		tangyuanjiaren		唐远虽生性顽劣，但就这样无声息的去了，我们都无法接受，或许这结局便是宿命的安排？												
331		liehu		那些说我残忍的家伙才是最虚伪的，我在扒皮的时候他们的牙缝里还塞着上一顿午餐留下的牛肉渣子！												
332		zhulinfeishou		眼泪呀止不住地流...止不住地往下流...手里捧着窝窝头...菜里没有一滴油…那是我当年的窘境，我也不愿当匪啊！												
333		chiyiweishouling		兄弟们他们笑话俺读书少！这不是胡说嘛，俺根本就么读过书！												
334		liqiushui		有人说我们气数已尽，我却不相信我的弟子不能度过这最最危难的时刻！												
335		mayishenxiang		天变有异向，人变有异相。近日我为几个帮派卜卦，卦象游离变换，就连我也参不透个中变数啊！												
336		zhonglingxiu1		长辈们常说我应当像个女子样，起码刺绣女红这些要会些，可我已拿起针线手便不听使唤！真是对不住我的名字啦！												
337		sanmei		三妹？你如何知道我的小名？你见过我？我最近是不是胖的厉害了？因为我老是偷吃我娘煲的番薯糖水！												
338		luoxue		我不相信有永恒的爱情，却相信世间某一处有一个人，一直等在那里，只是不知道何时何地会出现，总是快乐而孤独的等着他，也许这样就可以过了一生。												
339		fushang		俺现在的资本可是俺拼了命奋斗出来的，不要用“天才”两个字抹杀俺的努力！ 												
340		duanzhixing		北国冰雪可能才开始融化，然而南国大理却是春风拂柳、百花争艳，正是三月春光好的时节。												
341		suicong		百花阵内开百花，百花皆有用！												
342		wudangzhishidizi		我师父便是大名鼎鼎的洞虚真人，真乃神人也！												
343		yinbuyuan		城里的冶炼大师跟我是多年至交啦！可我去合成玄晶却不曾少收我一文钱，你说说这算哪门子朋友啊！												
344		bishuyang		你不是一个人在战斗！成千上万的侠客们在与你共同努力，不为别的，只为我们的大好河山。												
345		guchongyan		在这个江湖有太多无奈，我们无法改变，也无力去改变，更糟的是，我们失去了改变的想法……												
346		feilongxiansheng		激神岳之崔嵬，览沧海之殇殇。我飞龙何尝不想逆转乾坤之倒转，还天理之公平？何尝不想……												
347		lengyun		人生不止，寂寞不已……												
348		zhaokuo		自尊算什么，儿女情长算什么？国家的兴旺便是我的力量，有了这股力量即便我的双脚已经站在坟墓里，我也会一跃而起！												
349		yuejishan		在沙场上，哪里还有空考虑累不累的问题！沙场上的你不能懦弱，哪怕只是一点点！年轻人再好好练练你的体魄吧！												
350		zhaoruyu		大宋曾经的光辉早已黯淡。剩下的是什么？剩下的是朝中的奢靡，剩下的是后宫无耻的笑声。只要我赵汝愚尚存一息便要强兵富国，拯救黎民百姓于水火之中！												
351		shiyilang		你经历了很多！我能感觉到你的心痛，你有你说不出的无奈...但是你做出一副无所谓的样子，你干嘛不作声，被我说中了？												
352		luzhanyuan		很多时候我会想起那些悲伤的往事，然而我越想忘记，反而记得越清楚！												
353		guojie		不洗澡的人，佩戴几个香囊也是不会香的。名声与尊贵，是来自于真正的英雄豪杰，有真性情的人到哪里都受欢迎！												
