id	MaleKind	MaleG	MaleD	MaleP	MaleL	FemaleKind	FemaleG	FemaleD	FemaleP	FemaleL
2	蓝装_木系所有路线天蚕护腕	2	10	32	10	蓝装_木系所有路线龙凤血玉镯	2	10	42	10
3	蓝装_水系所有路线天蚕护腕	2	10	52	10	蓝装_水系所有路线龙凤血玉镯	2	10	62	10
4	蓝装_火系所有路线天蚕护腕	2	10	72	10	蓝装_火系所有路线龙凤血玉镯	2	10	82	10
5	蓝装_土系所有路线天蚕护腕	2	10	92	10	蓝装_土系所有路线龙凤血玉镯	2	10	102	10
6	紫装PVE_金系所有路线天蚕护腕	2	10	112	10	紫装PVE_金系所有路线龙凤血玉镯	2	10	122	10
7	紫装PVE_木系所有路线天蚕护腕	2	10	132	10	紫装PVE_木系所有路线龙凤血玉镯	2	10	142	10
8	紫装PVE_水系所有路线天蚕护腕	2	10	152	10	紫装PVE_水系所有路线龙凤血玉镯	2	10	162	10
9	紫装PVE_火系所有路线天蚕护腕	2	10	172	10	紫装PVE_火系所有路线龙凤血玉镯	2	10	182	10
10	紫装PVE_土系所有路线天蚕护腕	2	10	192	10	紫装PVE_土系所有路线龙凤血玉镯	2	10	202	10
11	紫装PVP_金系所有路线天蚕护腕	2	10	212	10	紫装PVP_金系所有路线龙凤血玉镯	2	10	222	10
12	紫装PVP_木系所有路线天蚕护腕	2	10	232	10	紫装PVP_木系所有路线龙凤血玉镯	2	10	242	10
13	紫装PVP_水系所有路线天蚕护腕	2	10	252	10	紫装PVP_水系所有路线龙凤血玉镯	2	10	262	10
14	紫装PVP_火系所有路线天蚕护腕	2	10	272	10	紫装PVP_火系所有路线龙凤血玉镯	2	10	282	10
15	紫装PVP_土系所有路线天蚕护腕	2	10	292	10	紫装PVP_土系所有路线龙凤血玉镯	2	10	302	10
16	橙装PVE_金系所有路线天蚕护腕	2	10	312	10	橙装PVE_金系所有路线龙凤血玉镯	2	10	322	10
17	橙装PVE_木系所有路线天蚕护腕	2	10	332	10	橙装PVE_木系所有路线龙凤血玉镯	2	10	342	10
18	橙装PVE_水系所有路线天蚕护腕	2	10	352	10	橙装PVE_水系所有路线龙凤血玉镯	2	10	362	10
19	橙装PVE_火系所有路线天蚕护腕	2	10	372	10	橙装PVE_火系所有路线龙凤血玉镯	2	10	382	10
20	橙装PVE_土系所有路线天蚕护腕	2	10	392	10	橙装PVE_土系所有路线龙凤血玉镯	2	10	402	10
21	橙装PVP_金系所有路线天蚕护腕	2	10	412	10	橙装PVP_金系所有路线龙凤血玉镯	2	10	422	10
22	橙装PVP_木系所有路线天蚕护腕	2	10	432	10	橙装PVP_木系所有路线龙凤血玉镯	2	10	442	10
23	橙装PVP_水系所有路线天蚕护腕	2	10	452	10	橙装PVP_水系所有路线龙凤血玉镯	2	10	462	10
24	橙装PVP_火系所有路线天蚕护腕	2	10	472	10	橙装PVP_火系所有路线龙凤血玉镯	2	10	482	10
25	橙装PVP_土系所有路线天蚕护腕	2	10	492	10	橙装PVP_土系所有路线龙凤血玉镯	2	10	502	10
26	蓝装_金系所有路线10级声望护腕	2	10	508	10	蓝装_金系所有路线10级声望手镯	2	10	514	10
27	蓝装_木系所有路线10级声望护腕	2	10	520	10	蓝装_木系所有路线10级声望手镯	2	10	526	10
28	蓝装_水系所有路线10级声望护腕	2	10	532	10	蓝装_水系所有路线10级声望手镯	2	10	538	10
29	蓝装_火系所有路线10级声望护腕	2	10	544	10	蓝装_火系所有路线10级声望手镯	2	10	550	10
30	蓝装_土系所有路线10级声望护腕	2	10	556	10	蓝装_土系所有路线10级声望手镯	2	10	562	10
31	紫装PVP_金系所有路线10级声望护腕	2	10	568	10	紫装PVP_金系所有路线10级声望手镯	2	10	574	10
32	紫装PVP_木系所有路线10级声望护腕	2	10	580	10	紫装PVP_木系所有路线10级声望手镯	2	10	586	10
33	紫装PVP_水系所有路线10级声望护腕	2	10	592	10	紫装PVP_水系所有路线10级声望手镯	2	10	598	10
34	紫装PVP_火系所有路线10级声望护腕	2	10	604	10	紫装PVP_火系所有路线10级声望手镯	2	10	610	10
35	紫装PVP_土系所有路线10级声望护腕	2	10	616	10	紫装PVP_土系所有路线10级声望手镯	2	10	622	10
36	橙装PVP_金系所有路线10级声望护腕	2	10	628	10	橙装PVP_金系所有路线10级声望手镯	2	10	634	10
37	橙装PVP_木系所有路线10级声望护腕	2	10	640	10	橙装PVP_木系所有路线10级声望手镯	2	10	646	10
38	橙装PVP_水系所有路线10级声望护腕	2	10	652	10	橙装PVP_水系所有路线10级声望手镯	2	10	658	10
39	橙装PVP_火系所有路线10级声望护腕	2	10	664	10	橙装PVP_火系所有路线10级声望手镯	2	10	670	10
40	橙装PVP_土系所有路线10级声望护腕	2	10	676	10	橙装PVP_土系所有路线10级声望手镯	2	10	682	10
41	命中护腕_男	2	10	684	10	命中护腕_女	2	10	689	10
42	命中护腕_男	2	10	687	10	命中护腕_女	2	10	692	10
43	命中护腕_男	2	10	686	10	命中护腕_女	2	10	691	10
44	命中护腕_男	2	10	683	10	命中护腕_女	2	10	688	10
45	命中护腕_男	2	10	685	10	命中护腕_女	2	10	690	10
46	白银_金系护腕	2	10	703	10	白银_金系手镯	2	10	704	10
47	白银_木系护腕	2	10	705	10	白银_木系手镯	2	10	706	10
48	白银_水系护腕	2	10	707	10	白银_水系手镯	2	10	708	10
49	白银_火系护腕	2	10	709	10	白银_火系手镯	2	10	710	10
50	白银_土系护腕	2	10	711	10	白银_土系手镯	2	10	712	10
51	黄金_金系护腕	2	10	713	10	黄金_金系手镯	2	10	714	10
52	黄金_木系护腕	2	10	715	10	黄金_木系手镯	2	10	716	10
53	黄金_水系护腕	2	10	717	10	黄金_水系手镯	2	10	718	10
54	黄金_火系护腕	2	10	719	10	黄金_火系手镯	2	10	720	10
55	黄金_土系护腕	2	10	721	10	黄金_土系手镯	2	10	722	10
1	蓝装_金系所有路线天蚕靴	2	7	12	10	蓝装_金系所有路线飞凤靴	2	7	22	10
2	蓝装_木系所有路线天蚕靴	2	7	32	10	蓝装_木系所有路线飞凤靴	2	7	42	10
3	蓝装_水系所有路线天蚕靴	2	7	52	10	蓝装_水系所有路线飞凤靴	2	7	62	10
4	蓝装_火系所有路线天蚕靴	2	7	72	10	蓝装_火系所有路线飞凤靴	2	7	82	10
5	蓝装_土系所有路线天蚕靴	2	7	92	10	蓝装_土系所有路线飞凤靴	2	7	102	10
6	紫装PVE_金系所有路线天蚕靴	2	7	112	10	紫装PVE_金系所有路线飞凤靴	2	7	122	10
7	紫装PVE_木系所有路线天蚕靴	2	7	132	10	紫装PVE_木系所有路线飞凤靴	2	7	142	10
8	紫装PVE_水系所有路线天蚕靴	2	7	152	10	紫装PVE_水系所有路线飞凤靴	2	7	162	10
9	紫装PVE_火系所有路线天蚕靴	2	7	172	10	紫装PVE_火系所有路线飞凤靴	2	7	182	10
10	紫装PVE_土系所有路线天蚕靴	2	7	192	10	紫装PVE_土系所有路线飞凤靴	2	7	202	10
11	紫装PVP_金系所有路线天蚕靴	2	7	212	10	紫装PVP_金系所有路线飞凤靴	2	7	222	10
12	紫装PVP_木系所有路线天蚕靴	2	7	232	10	紫装PVP_木系所有路线飞凤靴	2	7	242	10
13	紫装PVP_水系所有路线天蚕靴	2	7	252	10	紫装PVP_水系所有路线飞凤靴	2	7	262	10
14	紫装PVP_火系所有路线天蚕靴	2	7	272	10	紫装PVP_火系所有路线飞凤靴	2	7	282	10
15	紫装PVP_土系所有路线天蚕靴	2	7	292	10	紫装PVP_土系所有路线飞凤靴	2	7	302	10
16	橙装PVE_金系所有路线天蚕靴	2	7	312	10	橙装PVE_金系所有路线飞凤靴	2	7	322	10
17	橙装PVE_木系所有路线天蚕靴	2	7	332	10	橙装PVE_木系所有路线飞凤靴	2	7	342	10
18	橙装PVE_水系所有路线天蚕靴	2	7	352	10	橙装PVE_水系所有路线飞凤靴	2	7	362	10
19	橙装PVE_火系所有路线天蚕靴	2	7	372	10	橙装PVE_火系所有路线飞凤靴	2	7	382	10
20	橙装PVE_土系所有路线天蚕靴	2	7	392	10	橙装PVE_土系所有路线飞凤靴	2	7	402	10
21	橙装PVP_金系所有路线天蚕靴	2	7	412	10	橙装PVP_金系所有路线飞凤靴	2	7	422	10
22	橙装PVP_木系所有路线天蚕靴	2	7	432	10	橙装PVP_木系所有路线飞凤靴	2	7	442	10
23	橙装PVP_水系所有路线天蚕靴	2	7	452	10	橙装PVP_水系所有路线飞凤靴	2	7	462	10
24	橙装PVP_火系所有路线天蚕靴	2	7	472	10	橙装PVP_火系所有路线飞凤靴	2	7	482	10
25	橙装PVP_土系所有路线天蚕靴	2	7	492	10	橙装PVP_土系所有路线飞凤靴	2	7	502	10
26	白银PVP_金系所有路线天蚕靴	2	7	503	10	白银PVP_金系所有路线飞凤靴	2	7	504	10
27	白银PVP_木系所有路线天蚕靴	2	7	505	10	白银PVP_木系所有路线飞凤靴	2	7	506	10
28	白银PVP_水系所有路线天蚕靴	2	7	507	10	白银PVP_水系所有路线飞凤靴	2	7	508	10
29	白银PVP_火系所有路线天蚕靴	2	7	509	10	白银PVP_火系所有路线飞凤靴	2	7	510	10
30	白银PVP_土系所有路线天蚕靴	2	7	511	10	白银PVP_土系所有路线飞凤靴	2	7	512	10
31	黄金PVP_金系所有路线天蚕靴	2	7	513	10	黄金PVP_金系所有路线飞凤靴	2	7	514	10
32	黄金PVP_木系所有路线天蚕靴	2	7	515	10	黄金PVP_木系所有路线飞凤靴	2	7	516	10
33	黄金PVP_水系所有路线天蚕靴	2	7	517	10	黄金PVP_水系所有路线飞凤靴	2	7	518	10
34	黄金PVP_火系所有路线天蚕靴	2	7	519	10	黄金PVP_火系所有路线飞凤靴	2	7	520	10
35	黄金PVP_土系所有路线天蚕靴	2	7	521	10	黄金PVP_土系所有路线飞凤靴	2	7	522	10
1	蓝装_金系所有路线北冥佩	2	11	10	10	蓝装_金系所有路线龙涎香囊	2	11	20	10
2	蓝装_木系所有路线北冥佩	2	11	30	10	蓝装_木系所有路线龙涎香囊	2	11	40	10
3	蓝装_水系所有路线北冥佩	2	11	50	10	蓝装_水系所有路线龙涎香囊	2	11	60	10
4	蓝装_火系所有路线北冥佩	2	11	70	10	蓝装_火系所有路线龙涎香囊	2	11	80	10
5	蓝装_土系所有路线北冥佩	2	11	90	10	蓝装_土系所有路线龙涎香囊	2	11	100	10
6	紫装PVE_金系所有路线北冥佩	2	11	110	10	紫装PVE_金系所有路线龙涎香囊	2	11	120	10
7	紫装PVE_木系所有路线北冥佩	2	11	130	10	紫装PVE_木系所有路线龙涎香囊	2	11	140	10
8	紫装PVE_水系所有路线北冥佩	2	11	150	10	紫装PVE_水系所有路线龙涎香囊	2	11	160	10
9	紫装PVE_火系所有路线北冥佩	2	11	170	10	紫装PVE_火系所有路线龙涎香囊	2	11	180	10
10	紫装PVE_土系所有路线北冥佩	2	11	190	10	紫装PVE_土系所有路线龙涎香囊	2	11	200	10
11	紫装PVP_金系所有路线北冥佩	2	11	210	10	紫装PVP_金系所有路线龙涎香囊	2	11	220	10
12	紫装PVP_木系所有路线北冥佩	2	11	230	10	紫装PVP_木系所有路线龙涎香囊	2	11	240	10
13	紫装PVP_水系所有路线北冥佩	2	11	250	10	紫装PVP_水系所有路线龙涎香囊	2	11	260	10
14	紫装PVP_火系所有路线北冥佩	2	11	270	10	紫装PVP_火系所有路线龙涎香囊	2	11	280	10
15	紫装PVP_土系所有路线北冥佩	2	11	290	10	紫装PVP_土系所有路线龙涎香囊	2	11	300	10
16	橙装PVE_金系所有路线北冥佩	2	11	310	10	橙装PVE_金系所有路线龙涎香囊	2	11	320	10
17	橙装PVE_木系所有路线北冥佩	2	11	330	10	橙装PVE_木系所有路线龙涎香囊	2	11	340	10
18	橙装PVE_水系所有路线北冥佩	2	11	350	10	橙装PVE_水系所有路线龙涎香囊	2	11	360	10
19	橙装PVE_火系所有路线北冥佩	2	11	370	10	橙装PVE_火系所有路线龙涎香囊	2	11	380	10
20	橙装PVE_土系所有路线北冥佩	2	11	390	10	橙装PVE_土系所有路线龙涎香囊	2	11	400	10
21	橙装PVP_金系所有路线北冥佩	2	11	410	10	橙装PVP_金系所有路线龙涎香囊	2	11	420	10
22	橙装PVP_木系所有路线北冥佩	2	11	430	10	橙装PVP_木系所有路线龙涎香囊	2	11	440	10
23	橙装PVP_水系所有路线北冥佩	2	11	450	10	橙装PVP_水系所有路线龙涎香囊	2	11	460	10
24	橙装PVP_火系所有路线北冥佩	2	11	470	10	橙装PVP_火系所有路线龙涎香囊	2	11	480	10
25	橙装PVP_土系所有路线北冥佩	2	11	490	10	橙装PVP_土系所有路线龙涎香囊	2	11	500	10
26	蓝装_金系所有路线10级声望腰坠	2	11	507	10	蓝装_金系所有路线10级声望腰坠	2	11	514	10
27	蓝装_木系所有路线10级声望腰坠	2	11	521	10	蓝装_木系所有路线10级声望腰坠	2	11	528	10
28	蓝装_水系所有路线10级声望腰坠	2	11	535	10	蓝装_水系所有路线10级声望腰坠	2	11	542	10
29	蓝装_火系所有路线10级声望腰坠	2	11	549	10	蓝装_火系所有路线10级声望腰坠	2	11	556	10
30	蓝装_土系所有路线10级声望腰坠	2	11	563	10	蓝装_土系所有路线10级声望腰坠	2	11	570	10
31	紫装PVP_金系所有路线10级声望腰坠	2	11	577	10	紫装PVP_金系所有路线10级声望腰坠	2	11	584	10
32	紫装PVP_木系所有路线10级声望腰坠	2	11	591	10	紫装PVP_木系所有路线10级声望腰坠	2	11	598	10
33	紫装PVP_水系所有路线10级声望腰坠	2	11	605	10	紫装PVP_水系所有路线10级声望腰坠	2	11	612	10
34	紫装PVP_火系所有路线10级声望腰坠	2	11	619	10	紫装PVP_火系所有路线10级声望腰坠	2	11	626	10
35	紫装PVP_土系所有路线10级声望腰坠	2	11	633	10	紫装PVP_土系所有路线10级声望腰坠	2	11	640	10
36	橙装PVP_金系所有路线10级声望腰坠	2	11	647	10	橙装PVP_金系所有路线10级声望腰坠	2	11	654	10
37	橙装PVP_木系所有路线10级声望腰坠	2	11	661	10	橙装PVP_木系所有路线10级声望腰坠	2	11	668	10
38	橙装PVP_水系所有路线10级声望腰坠	2	11	675	10	橙装PVP_水系所有路线10级声望腰坠	2	11	682	10
39	橙装PVP_火系所有路线10级声望腰坠	2	11	689	10	橙装PVP_火系所有路线10级声望腰坠	2	11	696	10
40	橙装PVP_土系所有路线10级声望腰坠	2	11	703	10	橙装PVP_土系所有路线10级声望腰坠	2	11	710	10
41	白银_金系腰坠	2	11	711	10	白银_金系腰坠	2	11	712	10
42	白银_木系腰坠	2	11	713	10	白银_木系腰坠	2	11	714	10
43	白银_水系腰坠	2	11	715	10	白银_水系腰坠	2	11	716	10
44	白银_火系腰坠	2	11	717	10	白银_火系腰坠	2	11	718	10
45	白银_土系腰坠	2	11	719	10	白银_土系腰坠	2	11	720	10
46	黄金_金系腰坠	2	11	721	10	黄金_金系腰坠	2	11	722	10
47	黄金_木系腰坠	2	11	723	10	黄金_木系腰坠	2	11	724	10
48	黄金_水系腰坠	2	11	725	10	黄金_水系腰坠	2	11	726	10
49	黄金_火系腰坠	2	11	727	10	黄金_火系腰坠	2	11	728	10
50	黄金_土系腰坠	2	11	729	10	黄金_土系腰坠	2	11	730	10
1	橙色逍遥套装_金系外功男护腕	4	10	1	10	橙色逍遥套装_金系外功女手镯	4	10	2	10
2	紫色逍遥套装_金系外功男护腕	4	10	3	10	紫色逍遥套装_金系外功女手镯	4	10	4	10
3	蓝色逍遥套装_金系外功男护腕	4	10	5	10	蓝色逍遥套装_金系外功女手镯	4	10	6	10
4	橙色逍遥套装_木系外功男护腕	4	10	7	10	橙色逍遥套装_木系外功女手镯	4	10	8	10
5	橙色逍遥套装_木系内功男护腕	4	10	9	10	橙色逍遥套装_木系内功女手镯	4	10	10	10
6	紫色逍遥套装_木系外功男护腕	4	10	11	10	紫色逍遥套装_木系外功女手镯	4	10	12	10
7	紫色逍遥套装_木系内功男护腕	4	10	13	10	紫色逍遥套装_木系内功女手镯	4	10	14	10
8	蓝色逍遥套装_木系外功男护腕	4	10	15	10	蓝色逍遥套装_木系外功女手镯	4	10	16	10
9	蓝色逍遥套装_木系内功男护腕	4	10	17	10	蓝色逍遥套装_木系内功女手镯	4	10	18	10
10	橙色逍遥套装_水系外功男护腕	4	10	19	10	橙色逍遥套装_水系外功女手镯	4	10	20	10
11	橙色逍遥套装_水系内功男护腕	4	10	21	10	橙色逍遥套装_水系内功女手镯	4	10	22	10
12	紫色逍遥套装_水系外功男护腕	4	10	23	10	紫色逍遥套装_水系外功女手镯	4	10	24	10
13	紫色逍遥套装_水系内功男护腕	4	10	25	10	紫色逍遥套装_水系内功女手镯	4	10	26	10
14	蓝色逍遥套装_水系外功男护腕	4	10	27	10	蓝色逍遥套装_水系外功女手镯	4	10	28	10
15	蓝色逍遥套装_水系内功男护腕	4	10	29	10	蓝色逍遥套装_水系内功女手镯	4	10	30	10
16	橙色逍遥套装_火系外功男护腕	4	10	31	10	橙色逍遥套装_火系外功女手镯	4	10	32	10
17	橙色逍遥套装_火系内功男护腕	4	10	33	10	橙色逍遥套装_火系内功女手镯	4	10	34	10
18	紫色逍遥套装_火系外功男护腕	4	10	35	10	紫色逍遥套装_火系外功女手镯	4	10	36	10
19	紫色逍遥套装_火系内功男护腕	4	10	37	10	紫色逍遥套装_火系内功女手镯	4	10	38	10
20	蓝色逍遥套装_火系外功男护腕	4	10	39	10	蓝色逍遥套装_火系外功女手镯	4	10	40	10
21	蓝色逍遥套装_火系内功男护腕	4	10	41	10	蓝色逍遥套装_火系内功女手镯	4	10	42	10
22	橙色逍遥套装_土系外功男护腕	4	10	43	10	橙色逍遥套装_土系外功女手镯	4	10	44	10
23	橙色逍遥套装_土系内功男护腕	4	10	45	10	橙色逍遥套装_土系内功女手镯	4	10	46	10
24	紫色逍遥套装_土系外功男护腕	4	10	47	10	紫色逍遥套装_土系外功女手镯	4	10	48	10
25	紫色逍遥套装_土系内功男护腕	4	10	49	10	紫色逍遥套装_土系内功女手镯	4	10	50	10
26	蓝色逍遥套装_土系外功男护腕	4	10	51	10	蓝色逍遥套装_土系外功女手镯	4	10	52	10
27	蓝色逍遥套装_土系内功男护腕	4	10	53	10	蓝色逍遥套装_土系内功女手镯	4	10	54	10
28	橙色逍遥套装_金系男玉佩	4	11	1	10	橙色逍遥套装_金系女香囊	4	11	2	10
29	紫色逍遥套装_金系男玉佩	4	11	3	10	紫色逍遥套装_金系女香囊	4	11	4	10
30	蓝色逍遥套装_金系男玉佩	4	11	5	10	蓝色逍遥套装_金系女香囊	4	11	6	10
31	橙色逍遥套装_木系男玉佩	4	11	7	10	橙色逍遥套装_木系女香囊	4	11	8	10
32	紫色逍遥套装_木系男玉佩	4	11	9	10	紫色逍遥套装_木系女香囊	4	11	10	10
33	蓝色逍遥套装_木系男玉佩	4	11	11	10	蓝色逍遥套装_木系女香囊	4	11	12	10
34	橙色逍遥套装_水系男玉佩	4	11	13	10	橙色逍遥套装_水系女香囊	4	11	14	10
35	紫色逍遥套装_水系男玉佩	4	11	15	10	紫色逍遥套装_水系女香囊	4	11	16	10
36	蓝色逍遥套装_水系男玉佩	4	11	17	10	蓝色逍遥套装_水系女香囊	4	11	18	10
37	橙色逍遥套装_火系男玉佩	4	11	19	10	橙色逍遥套装_火系女香囊	4	11	20	10
38	紫色逍遥套装_火系男玉佩	4	11	21	10	紫色逍遥套装_火系女香囊	4	11	22	10
39	蓝色逍遥套装_火系男玉佩	4	11	23	10	蓝色逍遥套装_火系女香囊	4	11	24	10
40	橙色逍遥套装_土系男玉佩	4	11	25	10	橙色逍遥套装_土系女香囊	4	11	26	10
41	紫色逍遥套装_土系男玉佩	4	11	27	10	紫色逍遥套装_土系女香囊	4	11	28	10
42	蓝色逍遥套装_土系男玉佩	4	11	29	10	蓝色逍遥套装_土系女香囊	4	11	30	10
43	橙色逍遥套装_金系男鞋子	4	7	1	10	橙色逍遥套装_金系女鞋子	4	7	2	10
44	紫色逍遥套装_金系男鞋子	4	7	3	10	紫色逍遥套装_金系女鞋子	4	7	4	10
45	蓝色逍遥套装_金系男鞋子	4	7	5	10	蓝色逍遥套装_金系女鞋子	4	7	6	10
46	橙色逍遥套装_木系男鞋子	4	7	7	10	橙色逍遥套装_木系女鞋子	4	7	8	10
47	紫色逍遥套装_木系男鞋子	4	7	9	10	紫色逍遥套装_木系女鞋子	4	7	10	10
48	蓝色逍遥套装_木系男鞋子	4	7	11	10	蓝色逍遥套装_木系女鞋子	4	7	12	10
49	橙色逍遥套装_水系男鞋子	4	7	13	10	橙色逍遥套装_水系女鞋子	4	7	14	10
50	紫色逍遥套装_水系男鞋子	4	7	15	10	紫色逍遥套装_水系女鞋子	4	7	16	10
51	蓝色逍遥套装_水系男鞋子	4	7	17	10	蓝色逍遥套装_水系女鞋子	4	7	18	10
52	橙色逍遥套装_火系男鞋子	4	7	19	10	橙色逍遥套装_火系女鞋子	4	7	20	10
53	紫色逍遥套装_火系男鞋子	4	7	21	10	紫色逍遥套装_火系女鞋子	4	7	22	10
54	蓝色逍遥套装_火系男鞋子	4	7	23	10	蓝色逍遥套装_火系女鞋子	4	7	24	10
55	橙色逍遥套装_土系男鞋子	4	7	25	10	橙色逍遥套装_土系女鞋子	4	7	26	10
56	紫色逍遥套装_土系男鞋子	4	7	27	10	紫色逍遥套装_土系女鞋子	4	7	28	10
57	蓝色逍遥套装_土系男鞋子	4	7	29	10	蓝色逍遥套装_土系女鞋子	4	7	30	10
58	蓝色联赛套装_木系男布甲	4	3	31	10	蓝色联赛套装_木系女布甲	4	3	32	10
59	紫色联赛套装_木系男布甲	4	3	33	10	紫色联赛套装_木系女布甲	4	3	34	10
60	橙色联赛套装_木系男布甲	4	3	35	10	橙色联赛套装_木系女布甲	4	3	36	10
61	蓝色联赛套装_水系男布甲	4	3	37	10	蓝色联赛套装_水系女布甲	4	3	38	10
62	紫色联赛套装_水系男布甲	4	3	39	10	紫色联赛套装_水系女布甲	4	3	40	10
63	橙色联赛套装_水系男布甲	4	3	41	10	橙色联赛套装_水系女布甲	4	3	42	10
64	蓝色联赛套装_土系男布甲	4	3	43	10	蓝色联赛套装_土系女布甲	4	3	44	10
65	紫色联赛套装_土系男布甲	4	3	45	10	紫色联赛套装_土系女布甲	4	3	46	10
66	橙色联赛套装_土系男布甲	4	3	47	10	橙色联赛套装_土系女布甲	4	3	48	10
67	蓝色联赛套装_金系男皮甲	4	3	49	10	蓝色联赛套装_金系女皮甲	4	3	50	10
68	紫色联赛套装_金系男皮甲	4	3	51	10	紫色联赛套装_金系女皮甲	4	3	52	10
69	橙色联赛套装_金系男皮甲	4	3	53	10	橙色联赛套装_金系女皮甲	4	3	54	10
70	蓝色联赛套装_木系男皮甲	4	3	55	10	蓝色联赛套装_木系女皮甲	4	3	56	10
71	紫色联赛套装_木系男皮甲	4	3	57	10	紫色联赛套装_木系女皮甲	4	3	58	10
72	橙色联赛套装_木系男皮甲	4	3	59	10	橙色联赛套装_木系女皮甲	4	3	60	10
73	蓝色联赛套装_火系男皮甲	4	3	61	10	蓝色联赛套装_火系女皮甲	4	3	62	10
74	紫色联赛套装_火系男皮甲	4	3	63	10	紫色联赛套装_火系女皮甲	4	3	64	10
75	橙色联赛套装_火系男皮甲	4	3	65	10	橙色联赛套装_火系女皮甲	4	3	66	10
76	蓝色联赛套装_金系男铁甲	4	3	67	10	蓝色联赛套装_金系女铁甲	4	3	68	10
77	紫色联赛套装_金系男铁甲	4	3	69	10	紫色联赛套装_金系女铁甲	4	3	70	10
78	橙色联赛套装_金系男铁甲	4	3	71	10	橙色联赛套装_金系女铁甲	4	3	72	10
79	蓝色联赛套装_水系男铁甲	4	3	73	10	蓝色联赛套装_水系女铁甲	4	3	74	10
80	紫色联赛套装_水系男铁甲	4	3	75	10	紫色联赛套装_水系女铁甲	4	3	76	10
81	橙色联赛套装_水系男铁甲	4	3	77	10	橙色联赛套装_水系女铁甲	4	3	78	10
82	蓝色联赛套装_火系男铁甲	4	3	79	10	蓝色联赛套装_火系女铁甲	4	3	80	10
83	紫色联赛套装_火系男铁甲	4	3	81	10	紫色联赛套装_火系女铁甲	4	3	82	10
84	橙色联赛套装_火系男铁甲	4	3	83	10	橙色联赛套装_火系女铁甲	4	3	84	10
85	蓝色联赛套装_土系男铁甲	4	3	85	10	蓝色联赛套装_土系女铁甲	4	3	86	10
86	紫色联赛套装_土系男铁甲	4	3	87	10	紫色联赛套装_土系女铁甲	4	3	88	10
87	橙色联赛套装_土系男铁甲	4	3	89	10	橙色联赛套装_土系女铁甲	4	3	90	10
88	联赛套装_金系男白银衣服	4	3	153	10	联赛套装_金系女白银衣服	4	3	143	10
89	联赛套装_木系男白银衣服	4	3	154	10	联赛套装_木系女白银衣服	4	3	144	10
90	联赛套装_水系男白银衣服	4	3	155	10	联赛套装_水系女白银衣服	4	3	145	10
91	联赛套装_火系男白银衣服	4	3	156	10	联赛套装_火系女白银衣服	4	3	146	10
92	联赛套装_土系男白银衣服	4	3	157	10	联赛套装_土系女白银衣服	4	3	147	10
93	联赛套装_金系男黄金衣服	4	3	158	10	联赛套装_金系女黄金衣服	4	3	148	10
94	联赛套装_木系男黄金衣服	4	3	159	10	联赛套装_木系女黄金衣服	4	3	149	10
95	联赛套装_水系男黄金衣服	4	3	160	10	联赛套装_水系女黄金衣服	4	3	150	10
96	联赛套装_火系男黄金衣服	4	3	161	10	联赛套装_火系女黄金衣服	4	3	151	10
97	联赛套装_土系男黄金衣服	4	3	162	10	联赛套装_土系女黄金衣服	4	3	152	10
98	蓝色争夺套装_金系男铁帽	4	9	163	10	蓝色争夺套装_金系女铁帽	4	9	164	10
99	蓝色争夺套装_金系男皮帽	4	9	165	10	蓝色争夺套装_金系女皮帽	4	9	166	10
100	紫色争夺套装_金系男铁帽	4	9	167	10	紫色争夺套装_金系女铁帽	4	9	168	10
101	紫色争夺套装_金系男皮帽	4	9	169	10	紫色争夺套装_金系女皮帽	4	9	170	10
102	紫色争夺套装_金系男铁帽	4	9	171	10	紫色争夺套装_金系女铁帽	4	9	172	10
103	紫色争夺套装_金系男皮帽	4	9	173	10	紫色争夺套装_金系女皮帽	4	9	174	10
104	橙色争夺套装_金系男铁帽	4	9	175	10	橙色争夺套装_金系女铁帽	4	9	176	10
105	橙色争夺套装_金系男皮帽	4	9	177	10	橙色争夺套装_金系女皮帽	4	9	178	10
106	橙色争夺套装_金系男铁帽	4	9	179	10	橙色争夺套装_金系女铁帽	4	9	180	10
107	橙色争夺套装_金系男皮帽	4	9	181	10	橙色争夺套装_金系女皮帽	4	9	182	10
108	蓝色争夺套装_木系男皮帽	4	9	183	10	蓝色争夺套装_木系女皮帽	4	9	184	10
109	蓝色争夺套装_木系男布帽	4	9	185	10	蓝色争夺套装_木系女布帽	4	9	186	10
110	紫色争夺套装_木系男皮帽	4	9	187	10	紫色争夺套装_木系女皮帽	4	9	188	10
111	紫色争夺套装_木系男布帽	4	9	189	10	紫色争夺套装_木系女布帽	4	9	190	10
112	紫色争夺套装_木系男皮帽	4	9	191	10	紫色争夺套装_木系女皮帽	4	9	192	10
113	紫色争夺套装_木系男布帽	4	9	193	10	紫色争夺套装_木系女布帽	4	9	194	10
114	橙色争夺套装_木系男皮帽	4	9	195	10	橙色争夺套装_木系女皮帽	4	9	196	10
115	橙色争夺套装_木系男布帽	4	9	197	10	橙色争夺套装_木系女布帽	4	9	198	10
116	橙色争夺套装_木系男皮帽	4	9	199	10	橙色争夺套装_木系女皮帽	4	9	200	10
117	橙色争夺套装_木系男布帽	4	9	201	10	橙色争夺套装_木系女布帽	4	9	202	10
118	蓝色争夺套装_水系男铁帽	4	9	203	10	蓝色争夺套装_水系女铁帽	4	9	204	10
