标题	内容	是否不显示	EndTag
    1、众侠士<color=yellow>击败最终boss<color>可以直接传入<color=yellow>得悦舫<color>领取奖励；与副本中<color=yellow>关小刀<color>对话可提前结束副本，进入得悦舫领取相应奖励。
    2、最终奖励由<color=yellow>活动评价、奖励加成<color>组成。活动评价与本次藏宝图副本中您的<color=yellow>战斗分、副本活动时间<color>有关；依据和您一同挑战副本的<color=yellow>队员与您的社会关系<color>决定奖励加成的多少。
    3、众侠士不同等级，挑战不同难度副本可以领取到的宝箱等级不同。开启不同等级宝箱有几率得到<color=yellow>不同等级的材料、玄晶、经验<color>等，还有几率得到<color=yellow>头部装备<color>。

    注：侠士自身等级超过副本等级要求过高，奖励宝箱等级即不会改变。若想获得更高等级宝箱，请挑战更高星级的难度。"		EndTag
【跨服城战】铁浮城背景资料	"<color=lightblue>铁浮城背景资料<color>

    二百年前的北宋年间，有一奇人，本名张择端。此人因早年四处游学，得高人指点，其星相术的造诣远远超过绘画。
    张择端用了近一年的时间，绘画出北宋王都汴京的舟船往复，飞虹卧波，店铺林立，人烟稠密的繁华景象和丰富的社会生活习俗风情，此画便是流传后世的《清明上河图》。
    他首先将它呈献给了皇帝宋徽宗。然公元1126年底，金兵再次南下，攻破汴京，此画落入金人手中。北宋灭亡，史称“靖康之变”。
    后来，经方士秘密进言，金太宗发现《清明上河图》实暗藏玄机。此画竟是一副画中画。画中暗藏一张地图，直指金国北方某地，并附有一行小字——“稀世矿藏，得此地者得百年天下。”
    原来画中此地正是金国北方的赫图阿拉，此地藏有大量矿藏，不但有稀缺的铁矿石，还有一群常年隐匿在深山之中，以铸造熔炼稀有矿藏为生的佑鲁人。
    次年，金太宗秘密派遣大量铁匠、兵器师、技师、前往此地向当地的佑鲁人学习技艺，并在此地开城拓池。
    <color=gold>太宗完颜晟亲自为此地取名为：铁浮城。<color>
    铁浮城是一座宏伟、磅礴的城池，它坚不可摧的城墙，巧妙严谨的建筑结构，易守难攻的城池设计都让人叹为观止。且此城出产大批精良的兵器重甲，先是“铁浮屠”的发明，让金军在各个战役中所向披靡，无往不利；后有“铁滑车”的制造，让只善于平原作战的大金国也能与宋兵们在山谷之间周旋。
    1149年，海陵王完颜亮继位后，铁浮城内部出现剧烈矛盾，而初登王位的完颜亮采取了铁腕政策，致使众多能工巧匠均被处斩。
    这一举动可以说对金国和铁浮城带来了毁灭性的打击。以至于往后的几十年里，大金国在冷兵器上一直未有突破，铁浮城依然威武的屹立在大金的北方，却已然失去了往日的生机和霸气。
    然江湖中人并未将铁浮城的传说遗忘，神秘不绝的矿脉依然沉睡在辽阔的黑土地下，致使各大门派暗流涌动，稀世奇珍异宝铸造的神器，得此地者得天下的预言让人们的欲望无限膨胀延展。
    <color=yellow>欲望与梦想，我们应当如何抉择？你是英雄还是枭雄——问苍茫大地，谁主沉浮？屹立百年的铁浮城正静静等待他的知音！<color>

"	<%Task.IVER_nHelpIsView_XLand%>	EndTag
【跨服城战】城战时间	"<color=lightblue>跨服城战时间<color>


    <color=greenyellow>报名：<color><color=yellow>周四00:00--周六19:29<color>
    <color=greenyellow>准备：<color><color=yellow>周六19:30--周六19:59<color>
    <color=greenyellow>战斗：<color><color=yellow>周六20:00--周六21:29<color>
    <color=greenyellow>领奖：<color><color=yellow>周六21:30--下周三23:59<color>

<color=red>注意：<color><color=gold>开启150等级上限后，开启跨服城战。<color>"	<%Task.IVER_nHelpIsView_XLand%>	EndTag
【跨服城战】城战报名	"<color=lightblue>跨服城战报名<color>

    1、拥有超过<%EventManager.IVER_nNewLandMinTongMember%>名装备有<color=yellow><%EventManager.IVER_szNewLandMinLevelName%><color>或<%EventManager.IVER_szNewLandMinLevelName%>以上披风的任意玩家的帮会，由帮会首领前往<color=yellow>铁浮城远征大将<color>处选择“帮会申请”，即为帮会报名。
    2、在报名期间内，该帮会必须有<color=yellow><%EventManager.IVER_nNewLandMinTongMember%>名以上<color>装备有<color=yellow><%EventManager.IVER_szNewLandMinLevelName%><color>或者更高等级披风、且等级大于100并加入门派的玩家前来登记，才可使帮会获得参战资格。过期若人数不满<%EventManager.IVER_nNewLandMinTongMember%>，则报名无效。
    3、参战帮会上限为<color=yellow>45个<color>，若符合条件帮会超过45个，则之后报名无效。若报名成功帮会少于<color=yellow>4个<color>，则无法开启跨服城战。
    4、获得参战资格帮会的帮众，等级大于100且加入门派并装备有<%EventManager.IVER_szNewLandMinLevelName%>或<%EventManager.IVER_szNewLandMinLevelName%>以上披风即可动身前往铁浮城参战。"	<%Task.IVER_nHelpIsView_XLand%>	EndTag
【跨服城战】城战流程	"<color=lightblue>跨服城战流程<color>

    <color=green>【准备期】<color>
    1、准备期可从各大主城的<color=yellow>铁浮城远征大将<color>处进入<color=yellow>英雄岛<color>，并从英雄岛的<color=yellow>铁浮城传送人<color>处进入<color=yellow>铁浮城外围营地<color>等待。
    2、30分钟准备期内，可以布置战局、用跨服绑银购买药品等。

    <color=green>【城战期】<color>
    <color=yellow>1、外围争夺战<color>
    20:00城战打响，各帮会进入外围地图。需要注意的是，依据参战帮会数量，每张外围地图只会容纳最多3个帮会，所有的帮会会在<color=yellow>不同的外围地图<color>争夺外围资源。只有在外围地图攻占<color=yellow>三根（包括三）以上龙柱（每张地图共五根）<color>，该帮会成员才<color=yellow>有资格进入内城（进入不限制披风等级）<color>。

    <color=yellow>2、内城争夺战<color>
    进入内城后，同样有五根龙柱资源供大家争夺，只有某帮会占据其中三根或以上，该帮会成员才具有进入王座的资格。

    <color=yellow>3、王座争夺战<color>
    所有帮会将会在同一张地图上争夺王座，<color=yellow>占领王座需要读条<color>。王座地图内同样有四根龙柱资源供大家争夺。"	<%Task.IVER_nHelpIsView_XLand%>	EndTag
【跨服城战】城战积分	"<color=lightblue>跨服城战积分<color>

    <color=green>如何获得个人积分？<color>
    1、击败敌对玩家即可获得个人积分。
    2、每次占领龙柱会一次性获得一定数量的个人积分。
    3、守护在本帮已经夺取的龙柱周围、或者占领王座每隔一段时间也会获得一定的个人积分。

    <color=green>如何获得帮会积分？<color>
    每次占领龙柱或者王座，根据占领的时间，会增加帮会的帮会积分。

    <color=green>积分有何用途？<color>
    1、21:30跨服城战结束，届时<color=yellow>帮会积分最多<color>的帮会获得本次城战胜利，该帮帮会首领成为本周<color=yellow>铁浮城主<color>。
    2、依据个人积分以及帮会积分排名，<color=yellow>个人积分达到500的玩家<color>城战结束后会获得一定量的<color=yellow>铁浮城荣誉<color>。依据荣誉点数的多少，可在各服<color=yellow>铁浮城远征大将<color>处以<color=yellow>每个5万跨服绑银<color>的价格购买一定数量的<color=yellow>卓越战功箱<color>。
"	<%Task.IVER_nHelpIsView_XLand%>	EndTag
【跨服城战】城战奖励	"<color=lightblue>跨服城战奖励<color>

<color=green>【城主专属奖励】<color>
    城主可获得<color=yellow>铁浮城城主令<color>（绑定）以及三块<color=yellow>铁浮城英雄令<color>（非绑定）。
    城主凭<color=yellow>城主令<color>可接到特殊任务“凯旋铁浮城”，完成后即可使用该城主令，获得以下特权：

    <color=purple>称号：<color><color=yellow>铁浮城主·傲世凌天<color>
    <color=purple>购买以下物品的特权：<color>
          <color=yellow>凌天披风（示例<item=1,17,13,9><item=1,17,13,10><item=1,17,14,9><item=1,17,14,10>）
          凌天神驹（示例<item=1,12,29,4>）<color>

    <color=yellow>注意：<color>以上特权均在下届城战结束前有效。任务只需做一次，之后的城战中若再次获得铁浮城城主令，则使用后直接获得特权。

<color=green>【城主雕像】<color>
    城战结束之后，为表彰城主功业，在各服务器凤翔府地图以及英雄岛荣耀广场会自动为城主竖立一座雄伟的雕像。

<color=green>【城主勇士奖励】<color>
    <color=yellow>铁浮城英雄令<color>（不绑定）可由城主自行决定分配，凭此可接到特殊任务“荣耀铁浮城”，完成后即可使用该英雄令，获得以下特权：

    <color=violet>称号：<color><color=gold>铁浮勇士·群雄逐日<color=yellow>
    <color=violet>购买以下物品的特权：<color>
          <color=gold>逐日披风（示例<item=1,17,11,9><item=1,17,11,10><item=1,17,12,9><item=1,17,12,10>）
          逐日神驹（示例<item=1,12,28,4>）<color>

    <color=yellow>注意：<color>以上特权均在下届城战结束前有效。任务只需做一次，之后的城战中若再次获得铁浮城英雄令，则使用后直接获得特权。

<color=green>【辉煌战功箱】<color>
    <color=yellow>辉煌战功箱<color>（不绑定）在城战结束后，由城主在本服各大主城的<color=yellow>铁浮城远征大将<color>领取（还可以优惠的价格额外购买一定数量宝箱）并自行分配。
    打开辉煌战功箱<item=18,1,940,1>有机会获得<color=yellow>1~3级同伴装备碎片<color>！

<color=green>【卓越战功箱】<color>
    依据城战后获得<color=yellow>铁浮城荣誉<color>的多少，可在各服铁浮城远征大将处以<color=yellow>每个5万跨服绑银<color>的价格购买一定数量的卓越战功箱。
    打开卓越战功箱<item=18,1,939,1>有机会获得<color=yellow>1~2级同伴装备碎片、7级及以上高级玄晶<color>！

<color=green>【同伴装备】<color>
    打开战功箱有机会获得<color=yellow>同伴装备碎片<color>！
    集齐<color=yellow>50个<color>同种碎片，即可找各大主城的<color=yellow>铁浮城远征大将<color>，换取一件完整的装备。
        <color=orange>1级碧血装备：<item=5,19,1,1><item=5,20,1,1><item=5,23,1,1><color>
        <color=gold>2级金鳞装备：<item=5,19,1,2><item=5,20,1,2><item=5,23,1,2><color>
        <color=yellow>3级丹心装备：<item=5,19,1,3><item=5,20,1,3><item=5,23,1,3><color>

<color=green>【经验和威望】<color>
    参战玩家，个人积分大于<color=yellow>500<color>，可以在城战结束后于<color=yellow>铁浮城远征大将<color>处领取<color=yellow>500万<color>经验奖励和<color=yellow>50点威望奖励<color>
"	<%Task.IVER_nHelpIsView_XLand%>	EndTag
【跨服城战】常见问题	"<color=lightblue>跨服城战常见问题<color>

<color=green>问：如何查看详细战况？<color>
<color=violet>答：<color>按<color=yellow> ~ 键<color>。

<color=green>问：为何我无法完成城主和侍卫任务？<color>
<color=violet>答：<color>完成任务需要缴纳一定物品。
    城主任务：<color=yellow>10个和氏璧、299个月影之石<color>；侍卫任务：<color=yellow>3个和氏璧、99个月影之石<color>。"	<%Task.IVER_nHelpIsView_XLand%>	EndTag
【宋金战场】凤翔战场战神元帅模式	"<color=lightblue>凤翔战场战神元帅模式<color>

    1、服务器开放150等级上限后156天，各位侠士可参加凤翔战场新模式——战神元帅模式。
    2、宋金战场报名时间内，宋金双方人数都<color=yellow>大于4人<color>才可开战。
    3、凤翔战场新增<color=yellow>战神元帅模式<color>。该模式与元帅护卫模式相同，同时会在宋金双方刷新战神丹，点击战神丹的侠士获得战神武士变身，同时获得战神武士技能。该状态持续5分钟，时间到后或者被重伤后，该状态消失，战神丹重新刷新。
"	<%Task.IVER_nHelpIsView_XLand%>	EndTag
【侠侣闯天下】介绍	"<color=red>介绍<color>

    <color=yellow>江湖之人，情意最重。试问哪位侠士不想与自己的心上人相伴，两人互相扶持，一同闯荡这刀光剑影的江湖呢？
    进行纳吉、举办典礼之后，即可见证你们两人感天动地的情意！快找到你的心上人，一起闯天下吧！！<color>
"	<%Task.IVER_nHelpIsView_Marry%>	EndTag
【侠侣闯天下】好处	"<color=red>侠侣的好处<color>

    <color=green>让天下人都见证你们之间的情意吧！成为侠侣后你们还将获得各种持续性的好处：<color>
    1、<color=red>专属称号。<color>纳吉、结成侠侣后均有称号表明身份，告诉别人你已经心有所属了！
    2、<color=red>专属侠侣坐骑。<color>白虎欢欢、白鹿喜喜与你们相伴到天涯，让世人见证你们感天动地的情意。（只有购买并使用皇家典礼礼包才可获得）
    3、<color=red>豪华侠侣信物。<color>侠侣信物美丽又实惠。使用信物即可获得<color=yellow>心心相印、侠侣坐骑、侠侣光环、侠侣传送、经验加成等功能<color>。（不同档次的信物可获得的功能不同）
    信物详情请查阅“<color=yellow>【侠侣闯天下】道具<color>”一栏。

    注：若举办皇家、王侯典礼，典礼场地开启时还会在各大主城、新手村出现<color=yellow>典礼管家<color>，为大家<color=yellow>发放祝福<color>，好处多多！

"	<%Task.IVER_nHelpIsView_Marry%>	EndTag
【侠侣闯天下】情花	"<color=red>情花<color>

<color=green>情花有什么用处？<color>
    结成侠侣必备的各种道具，都需要<color=yellow>情花<color>才能在典礼商人万有全处购买。

<color=green>如何获得情花？<color>
    1、在<color=yellow>奇珍阁<color>购买情花，这是获取情花的<color=yellow>最快<color>的方式。
    2、完成<color=yellow>逍遥谷3级和3级以上的关卡<color>后，会刷出<color=yellow>情花<color>，点击后，即可获得一个绑定的<color=yellow>情花花瓣<color>；
       生活技能达到<color=yellow>60<color>级后自动学会情花花瓣的加工制作，分别消耗<color=yellow>150<color>的精力、活力，即可获得<color=yellow>绑定的情花<color>。

"	<%Task.IVER_nHelpIsView_Marry%>	EndTag
【侠侣闯天下】条件和流程	"<color=red>条件和流程<color>

<color=green>纳吉需要达到什么条件？<color>
    1、男女双方等级均达到<color=yellow>69<color>级；
    2、男女双方均为<color=yellow>单身<color>状态，没有纳吉、侠侣关系；
    3、双方<color=yellow>亲密度<color>达到<color=yellow>3级<color>。

<color=green>结成侠侣的流程是什么？<color>
<color=yellow>·纳吉<color>
    1、用<color=yellow>情花<color>在江津村典礼商人<color=yellow>万有全<color>处购买纳吉礼包；
    2、打开<color=yellow>纳吉礼包<color>，获得纳吉卡；
    3、男女组队，一方使用<color=yellow>纳吉卡<color>进行纳吉，另一方同意后，纳吉成功。<color=yellow>双方还可获得时效7天的纳吉称号。<color>
<color=yellow>·典礼<color>
    1、纳吉成功后，男方用情花在江津村万有全处<color=yellow>购买某个档次的典礼礼包<color>；
    2、男女组队，男方凭典礼礼包在<color=yellow>江津村老月<color>处选择典礼场地、预订日期；
    3、典礼当天，邀请你们的亲朋好友和来宾，<color=yellow>举行一场热闹豪华的典礼<color>吧！
    详情请查阅“<color=yellow>【侠侣闯天下】典礼<color>”一栏。
<color=yellow>·典礼后<color>
    1、典礼结束后，你们即可成为侠侣。可以去江津村<color=yellow>老月<color>处领取<color=yellow>侠侣信物<color>。
    2、不同档次的<color=yellow>典礼对应不同档次的侠侣信物<color>。
    信物详情请查阅“<color=yellow>【侠侣闯天下】主要道具<color>”一栏。

<color=green>如何解除纳吉关系？<color> 
    纳吉成功后，若觉后悔，你可以组队或单独在江津村<color=yellow>红姨<color>处解除纳吉关系。
    详情请查阅“<color=yellow>【侠侣闯天下】NPC<color>”-江津村红姨。

"	<%Task.IVER_nHelpIsView_Marry%>	EndTag
【侠侣闯天下】典礼	"<color=red>典礼<color>

<color=green>如何预订典礼？<color>
    1、纳吉成功后，<color=yellow>男方<color>在江津村万有全处用<color=yellow>情花<color>购买某个档次的<color=yellow>典礼礼包<color>；
    2、男方凭典礼礼包在万有全身旁的<color=yellow>老月<color>处预订典礼，<color=yellow>预订日期、选择典礼场地<color>；
    3、使用皇家典礼礼包可以选择<color=yellow>皇家仙境、王侯海滩、贵族庄园、侠士民居<color>四种场地，而王侯典礼礼包则只可选择王侯海滩、贵族庄园或侠士民居，以此类推。

<color=green>如何更改典礼的档次、日期、场地？<color>
    1、与江津村<color=yellow>老月<color>对话，点击<color=yellow>预订日期<color>；
    2、重新放入你想使用的典礼礼包，确定典礼档次，重新选择日期、场地。
    3、更改需要缴纳一定的<color=yellow>费用<color>。

<color=green>如何邀请来宾？<color>
    1、二位侠侣的<color=yellow>好友、同一家族成员<color>均可进入典礼场地。
    2、其他人必须通过二位侠侣或二位侠侣的结义兄弟、闺中密友发给的<color=yellow>邀请函<color>才能进入。
    3、邀请函在<color=yellow>典礼场地内的典礼商人<color>处由二位侠侣或二位侠侣的结义兄弟、闺中密友购买。

<color=green>典礼的流程是什么？<color>
    1、<color=red>入座。<color>二位侠侣、来宾等进入典礼场地，来宾可以在场地内的礼金收取人处给二位侠侣<color=yellow>赠送礼金<color>；
    2、<color=red>开启。<color>二位侠侣的结义兄弟、闺中密友或二位侠侣点击典礼主持人吉祥开启典礼；
    3、<color=red>拜堂。<color>众多游戏内NPC前来致贺，二位侠侣拜堂，来宾放烟花、祝贺；
    4、<color=red>宴席。<color>来宾可以点击获得餐桌上的菜，食用后可获得一定奖励。二位侠侣此时也可到宴席中间找“<color=yellow>福临门<color>”开启小游戏。举办王侯和皇家典礼还可以进行<color=yellow>抽奖<color>，幸运者可以获得价值不菲的玄晶。
    5、<color=red>结束。<color>典礼场地在典礼<color=yellow>当天中午12点-次日上午5点<color>一直开启，时间到后，场地自动关闭。
注：若您的烟花等不够用都可以在<color=yellow>场地内的典礼商人<color>处购买。
    若<color=yellow>未能如期<color>举办典礼，则典礼场地关闭后<color=yellow>可以到老月处修复侠侣关系<color>。

"	<%Task.IVER_nHelpIsView_Marry%>	EndTag
【侠侣闯天下】NPC	"<color=red>主要NPC<color>

<color=green>江津村老月<color>
    江津村老月是您举办典礼的必找之人，在他这里可以：
    1、预订日期，举办典礼；
    2、参加、查询典礼；
    3、参观典礼场地；
    4、结成侠侣后，领取侠侣信物。

<color=green>江津村万有全<color>
    江津村万有全处出售结成侠侣需要的各种道具，如纳吉礼包、典礼礼包等。只需要用一定数量的<color=yellow>情花<color>向他购买即可。
    若想参加典礼，您可在他那里购买到各种烟花礼炮。


<color=green>江津村红姨<color>
    1、纳吉成功后，若觉后悔，你可以组队或单独在江津村红姨处<color=yellow>解除纳吉<color>关系。
    2、若<color=yellow>两人组队<color>申请解除纳吉关系，则每人扣除<color=yellow>10万银两<color>，立即恢复单身。
    3、<color=yellow>单独解除<color>需要扣除申请人<color=yellow>20万银两<color>，即可立即恢复单身。

    <color=yellow>注意：若已经使用典礼礼包预订日期，则不能再反悔了。<color>

<color=green>典礼管家<color>
    1、<color=yellow>皇家典礼<color>场地开启时（当天12点-次日5点），各大主城张灯结彩，典礼管家会出现在各大<color=yellow>主城的叶芷琳旁<color>，为世人送上典礼的祝福！
    2、<color=yellow>王侯典礼<color>场地开启时（当天12点-次日5点），各大新手村张灯结彩，典礼管家会出现在各大<color=yellow>新手村的叶芷琳旁<color>，为世人送上典礼的祝福！
    3、等级达到<color=yellow>69<color>级已入门派、江湖威望排名在<color=yellow>5000<color>名及以上的玩家，可以在管家处获得非常好的祝福！

"	<%Task.IVER_nHelpIsView_Marry%>	EndTag
【侠侣闯天下】道具	"<color=red>主要道具<color>

<color=green>【纳吉礼包】<color>
    用<color=yellow>情花<color>即可在江津村万有全处购买纳吉礼包，内容包括：<color=yellow>
    “爱相随”礼花*2
    “你是唯一”礼花*2
     皇家礼炮*1
     浪漫花海*1
     纳吉誓言*1
     纳吉卡*1<color>

<color=green>【典礼礼包】<color>
    典礼礼包分为四个档次（见下表），不同档次的豪华程度不同，包括<color=yellow>典礼时来贺喜的NPC、可选的典礼场地、是否有抽奖活动等<color>。（皇家、王侯档次的典礼有抽奖活动）
    <color=yellow>注意：典礼礼包只能男方使用，如果女方错买，右键点击典礼礼包时可以选择原价返还绑定的情花。<color> 
        <table=0>
    <tr=0,0,2,0,Orange><td=0,0,5,1>典礼礼包名称</td><td=0,0,5,1>包括内容</td><td=0,0,5,1>所需情花</td></tr>
    <tr=0,0,1,1,hide><td>皇家典礼礼包</td><td>蓝颜知己(华丽面具)1个 
红颜知己(华丽面具)1个
结义兄弟面具2个
闺中密友面具2个
邀请函40个
逐客令4个
典礼礼花包8个</td><td>9999朵</td></tr>
    <tr=0,0,1,1,gray><td>王侯典礼礼包</td><td>蓝颜知己(华丽面具)1个 
红颜知己(华丽面具)1个
结义兄弟面具2个
闺中密友面具2个
邀请函30个
逐客令4个
典礼礼花包4个</td><td>1999朵</td></tr>
    <tr=0,0,1,1,hide><td>贵族典礼礼包</td><td>蓝颜知己(普通面具)1个
红颜知己(普通面具)1个
结义兄弟面具1个
闺中密友面具1个
邀请函20个
逐客令2个
典礼礼花包2个</td><td>499朵</td></tr>
    <tr=0,0,1,1,gray><td>侠士典礼礼包</td><td>蓝颜知己(普通面具)1个
红颜知己(普通面具)1个
结义兄弟面具1个
闺中密友面具1个
邀请函10个
逐客令2个
典礼礼花包1个</td><td>99朵</td></tr>
</table>

<color=green>【侠侣信物】<color>
    使用不同档次的典礼礼包，可以获得<color=yellow>不同档次的侠侣信物<color>，其附加功能如下：
        <table=0>
    <tr=0,0,2,0,Orange><td=0,0,5,1>礼包等级</td><td=0,0,5,1>信物等级</td><td=0,0,5,1>附加功能</td></tr>
    <tr=0,0,1,1,hide><td>皇家典礼礼包</td><td>侠侣信物（皇家）</td><td>   侠侣坐骑   
   侠侣传送   
   经验加成   
   心心相印   
   侠侣光环   </td></tr>
    <tr=0,0,1,1,gray><td>王侯典礼礼包</td><td>侠侣信物（王侯）</td><td>侠侣传送
经验加成
心心相印
侠侣光环</td></tr>
    <tr=0,0,1,1,hide><td>贵族典礼礼包</td><td>侠侣信物（贵族）</td><td>侠侣传送
经验加成
心心相印</td></tr>
    <tr=0,0,1,1,gray><td>侠士典礼礼包</td><td>侠侣信物（侠士）</td><td>经验加成
心心相印</td></tr>
</table>

"	<%Task.IVER_nHelpIsView_Marry%>	EndTag
【侠侣闯天下】解除侠侣关系	"<color=red>解除侠侣关系<color>

    <color=yellow>结成侠侣乃人生一件大事，没事不要随便玩，要解除侠侣关系的话还请等待开发。<color>"	<%Task.IVER_nHelpIsView_Marry%>	EndTag
【高级秘籍】横空出世·虎虎生威	"<color=red>高级秘籍横空出世，虎虎生威笑傲江湖！<color>

<color=green>获得途径：<color>
    <color=yellow>一、无字天书藏秘法，秋姨有本秘籍藏。<color>
    达到100级已入门派的玩家，在各新手村白秋琳处完成“<color=yellow>无字天书<color>”任务后，可以获得一本对应职业和路线的高级秘籍！

    <color=yellow>二、游龙秘宝现古币，龙五古币换秘籍。<color>
    一本秘籍无法将技能修满，您还可以去游龙阁寻找<color=yellow>游龙古币<color>，用游龙古币在新手村<color=yellow>龙五太爷<color>处兑换更多高级秘籍。
    
    各大门派高级秘籍如下，请各位先睹为快！
<color=yellow>金系：<color>
    <table=0>
    <tr=0,0,2,0,Orange><td>      少</td><td>林      </td></tr>
    <tr=0,0,1,1,hide><td>刀少林</td><td><item=1,14,1,3></td></tr>
    <tr=0,0,1,1,gray><td>棍少林</td><td><item=1,14,2,3></td></tr>
</table><table=0>
    <tr=0,0,2,0,Orange><td>      天</td><td>王      </td></tr>
    <tr=0,0,1,1,hide><td>枪天王</td><td><item=1,14,3,3></td></tr>
    <tr=0,0,1,1,gray><td>锤天王</td><td><item=1,14,4,3></td></tr>
</table>
<color=green>木系：<color>
    <table=0>
    <tr=0,0,2,0,Orange><td>      唐</td><td>门      </td></tr>
    <tr=0,0,1,1,hide><td>陷阱唐</td><td><item=1,14,5,3></td></tr>
    <tr=0,0,1,1,gray><td>袖箭唐</td><td><item=1,14,6,3></td></tr>
</table><table=0>
    <tr=0,0,2,0,Orange><td>      五</td><td>毒      </td></tr>
    <tr=0,0,1,1,hide><td>刀五毒</td><td><item=1,14,7,3></td></tr>
    <tr=0,0,1,1,gray><td>掌五毒</td><td><item=1,14,8,3></td></tr>
</table><table=0>
    <tr=0,0,2,0,Orange><td>      明</td><td>教      </td></tr>
    <tr=0,0,1,1,hide><td>锤明教</td><td><item=1,14,21,3></td></tr>
    <tr=0,0,1,1,gray><td>剑明教</td><td><item=1,14,22,3></td></tr>
</table>
<color=blue>水系：<color>
    <table=0>
    <tr=0,0,2,0,Orange><td>      峨</td><td>嵋      </td></tr>
    <tr=0,0,1,1,hide><td>掌峨嵋</td><td><item=1,14,9,3></td></tr>
    <tr=0,0,1,1,gray><td>辅助峨嵋</td><td><item=1,14,10,3></td></tr>
</table><table=0>
    <tr=0,0,2,0,Orange><td>      翠</td><td>烟      </td></tr>
    <tr=0,0,1,1,hide><td>剑翠烟</td><td><item=1,14,11,3></td></tr>
    <tr=0,0,1,1,gray><td>刀翠烟</td><td><item=1,14,12,3></td></tr>
</table><table=0>
    <tr=0,0,2,0,Orange><td>    大理</td><td>段氏    </td></tr>
    <tr=0,0,1,1,hide><td>指段氏</td><td><item=1,14,23,3></td></tr>
    <tr=0,0,1,1,gray><td>气段氏</td><td><item=1,14,24,3></td></tr>
</table>
<color=red>火系：<color>
    <table=0>
    <tr=0,0,2,0,Orange><td>      丐</td><td>帮      </td></tr>
    <tr=0,0,1,1,hide><td>掌丐帮</td><td><item=1,14,13,3></td></tr>
    <tr=0,0,1,1,gray><td>棍丐帮</td><td><item=1,14,14,3></td></tr>
</table><table=0>
    <tr=0,0,2,0,Orange><td>      天</td><td>忍      </td></tr>
    <tr=0,0,1,1,hide><td>战天忍</td><td><item=1,14,15,3></td></tr>
    <tr=0,0,1,1,gray><td>魔天忍</td><td><item=1,14,16,3></td></tr>
</table>
<color=gray>土系：<color>
    <table=0>
    <tr=0,0,2,0,Orange><td>      武</td><td>当      </td></tr>
    <tr=0,0,1,1,hide><td>气武当</td><td><item=1,14,17,3></td></tr>
    <tr=0,0,1,1,gray><td>剑武当</td><td><item=1,14,18,3></td></tr>
</table><table=0>
    <tr=0,0,2,0,Orange><td>      昆</td><td>仑      </td></tr>
    <tr=0,0,1,1,hide><td>刀昆仑</td><td><item=1,14,19,3></td></tr>
    <tr=0,0,1,1,gray><td>剑昆仑</td><td><item=1,14,20,3></td></tr>
</table>

"		EndTag
【同伴系统】介绍	"<color=red>介绍<color>

<color=green>【简介】<color>
    <color=yellow>江湖险恶，大侠闯荡江湖怎可缺少同行兄弟？您现在也可以拥有属于自己的同伴了！<color>
    <color=red>劣质机关人、可爱的童子、逍遥谷莺莺，甚至秦始皇，<color><color=yellow>想让他们成为您的同伴，帮您打遍天下无敌手吗？<color>

<color=green>【同伴面板】<color>
    1、点击主界面左上方，角色栏旁的<color=yellow>同伴图标：<color><pic=\image\ui\001a\main\btn_player_partner.spr,0> ，即可进入同伴面板；
    2、按<color=yellow>F9<color>直接进入同伴面板。

<color=green>【月影之石】<color>
    1、想要拥有一位好同伴，<color=yellow>月影之石<color>必不可少。
    2、您可以用<color=yellow>月影之石<color>在各大<color=yellow>新手村龙五太爷<color>处换取到同伴相关的物品，如<color=yellow>各种名帖、各种精魄<color>等，使用这些物品才可以获得同伴，进行同伴养成。
    3、月影之石可以通过生活技能加工<color=yellow>月影原石（奇珍阁有售）<color>获得。"		EndTag
【同伴系统】同伴的好处	"<color=red>同伴的好处<color>

    当您陷入苦战时，同伴可以出手相助，<color=yellow>强力的被动辅助技能、对您的潜能加成等<color>都可以大幅提升您的战斗力。另外，<color=yellow>星级<color>越高的同伴还可以更多地增加您的<color=yellow>财富荣誉值<color>。

<color=green>正在出手相助的同伴可以：<color>
    1、增加您的潜能点，包括：<color=yellow>力量、身法、外功、内功<color>（同伴面板F9中查看）
    2、让您获得该同伴拥有的被动辅助<color=yellow>技能效果<color>。
"		EndTag
【同伴系统】获得同伴	"<color=red>获得同伴<color>

<color=green>获得条件：<color>
    1、您的等级达到<color=yellow>100级<color>并<color=yellow>加入门派<color>，拥有<color=yellow>名帖<color>（如：镶边帛帖）；
    2、在合适的场地中<color=yellow>选中可被说服的目标NPC<color>，在其附近<color=yellow>使用名帖<color>；
    3、您所携带的同伴数量没有超出上限；
    4、使用名帖装备同伴<color=yellow>无需读条，但是有一定成功率，若失败不会扣除名帖<color>，再次使用即可。使用名帖有4秒钟冷却时间。

    注：有关可被说服的NPC与说服帖请参看“<color=yellow>NPC与名帖<color>”详情。

<color=green>如何选中想说服的NPC并且不会对其进行攻击？<color>
    1、鼠标右键技能改为普攻，鼠标右键点击目标NPC，即可选中。
    2、同时按住Ctrl+L，将鼠标移动至NPC身上，即可选中。
    3、鼠标左键技能改为普攻，使用Shift+鼠标左键点击目标NPC，即可选中。
"		EndTag
【同伴系统】NPC与名帖	"<color=red>NPC与名帖<color>

<color=green>如何判断NPC是否可被说服？<color>
