Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	StrInitMin	StrInitMax	StrAptMin	StrAptMax	DexInitMin	DexInitMax	DexAptMin	DexAptMax	VitInitMin	VitInitMax	VitAptMin	VitAptMax	EngInitMin	EngInitMax	EngAptMin	EngAptMax	SkillID1	SkillID2	SkillID3	SkillID4	UnLockInterval	FightPower
剑明教中级秘籍	剑明教中级秘籍	1	1	14	22	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1220					2
指段氏中级秘籍	指段氏中级秘籍	1	1	14	23	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	480	720	48	72	960	1440	96	144	0	0	0	0	1221					2
气段氏中级秘籍	气段氏中级秘籍	1	1	14	24	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	0	0	0	0	1200	1800	120	180	1200	1800	120	180	1222					2
剑古墓中级秘籍	剑古墓中级秘籍	1	1	14	25	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											960	1440	96	144	720	1080	72	108	0	0	0	0	720	1080	72	108	2815					2
针古墓中级秘籍	针古墓中级秘籍	1	1	14	26	2	\image\item\equip\book\zhongjimiji_s.spr	\image\item\equip\book\zhongjimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村或城市的<color=gold>钱庄<color>处的魂石商店有售。		0		50000			1		book																																																																									5	70																																																											0	0	0	0	720	1080	72	108	480	720	48	72	1200	1800	120	180	2826					2
刀少林高级秘籍	刀少林高级秘籍	1	1	14	1	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	960	1440	48	72	1920	2880	96	144	0	0	0	0	1241					3
棍少林高级秘籍	棍少林高级秘籍	1	1	14	2	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1440	2160	72	108	1440	2160	72	108	1920	2880	96	144	0	0	0	0	1242					3
枪天王高级秘籍	枪天王高级秘籍	1	1	14	3	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	1440	2160	72	108	1440	2160	72	108	0	0	0	0	1243					3
锤天王高级秘籍	锤天王高级秘籍	1	1	14	4	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	480	720	24	36	2400	3600	120	180	0	0	0	0	1244					3
陷阱唐门高级秘籍	陷阱唐门高级秘籍	1	1	14	5	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	2400	3600	120	180	2400	3600	120	180	0	0	0	0	1245					3
袖箭唐门高级秘籍	袖箭唐门高级秘籍	1	1	14	6	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	2400	3600	120	180	2400	3600	120	180	0	0	0	0	1246					3
刀五毒高级秘籍	刀五毒高级秘籍	1	1	14	7	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											2400	3600	120	180	960	1440	48	72	1440	2160	72	108	0	0	0	0	1247					3
掌五毒高级秘籍	掌五毒高级秘籍	1	1	14	8	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1248					3
掌峨嵋高级秘籍	掌峨嵋高级秘籍	1	1	14	9	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1249					3
辅助峨嵋高级秘籍	辅助峨嵋高级秘籍	1	1	14	10	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1250					3
剑翠烟高级秘籍	剑翠烟高级秘籍	1	1	14	11	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1251					3
刀翠烟高级秘籍	刀翠烟高级秘籍	1	1	14	12	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	960	1440	48	72	1920	2880	96	144	0	0	0	0	1252					3
掌丐帮高级秘籍	掌丐帮高级秘籍	1	1	14	13	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1253					3
棍丐帮高级秘籍	棍丐帮高级秘籍	1	1	14	14	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											2400	3600	120	180	960	1440	48	72	1440	2160	72	108	0	0	0	0	1254					3
战天忍高级秘籍	战天忍高级秘籍	1	1	14	15	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1440	2160	72	108	960	1440	48	72	2400	3600	120	180	0	0	0	0	1255					3
魔天忍高级秘籍	魔天忍高级秘籍	1	1	14	16	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1256					3
气武当高级秘籍	气武当高级秘籍	1	1	14	17	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1257					3
剑武当高级秘籍	剑武当高级秘籍	1	1	14	18	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	480	720	24	36	480	720	24	36	1920	2880	96	144	1258					3
刀昆仑高级秘籍	刀昆仑高级秘籍	1	1	14	19	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											2400	3600	120	180	960	1440	48	72	1440	2160	72	108	0	0	0	0	1259					3
剑昆仑高级秘籍	剑昆仑高级秘籍	1	1	14	20	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1260					3
锤明教高级秘籍	锤明教高级秘籍	1	1	14	21	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	960	1440	48	72	1920	2880	96	144	0	0	0	0	1261					3
剑明教高级秘籍	剑明教高级秘籍	1	1	14	22	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1262					3
指段氏高级秘籍	指段氏高级秘籍	1	1	14	23	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	960	1440	48	72	1920	2880	96	144	0	0	0	0	1263					3
气段氏高级秘籍	气段氏高级秘籍	1	1	14	24	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	0	0	0	0	2400	3600	120	180	2400	3600	120	180	1264					3
剑古墓高级秘籍	剑古墓高级秘籍	1	1	14	25	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											1920	2880	96	144	1440	2160	72	108	0	0	0	0	1440	2160	72	108	2816					3
针古墓高级秘籍	针古墓高级秘籍	1	1	14	26	3	\image\item\equip\book\gaojimiji_s.spr	\image\item\equip\book\gaojimiji.spr	33	装备没有满级的秘籍后，处于修炼珠的开启修炼修为状态下打怪可以修炼本秘籍所附带的技能。<enter>各新手村<color=gold>龙五太爷<color>处的游龙杂货店有售。		0		100000			1		book																																																																									5	100																																																											0	0	0	0	1440	2160	72	108	960	1440	48	72	2400	3600	120	180	2838					3
